어휘,품사,뜻풀이
항가새나물,명사,‘엉겅퀴’의 북한어.
항가스트린약,명사,가스트린의 분비나 그 작용을 억제하는 약물. 위 십이지장염이나 궤양의 치료에 사용하며l <FL>옥세타자인</FL> 따위가 있다. 위 전정(前庭)에 있는 지(G) 세포에서 분비되는 가스트린은 위산의 분비를 촉진하여 위 십이지장의 염증이나 궤양을 유발한다.
항가치,명사,‘방아깨비’의 방언
항가?,명사,‘엉겅퀴’의 옛말.
항각,명사,중국 청나라에 들어와서 무역을 하던 서양의 자유 상인을 이르던 말.
항각기성,명사,각기에 저항하는 성질.
항각기인자,품사 없음,각기병이 발생하는 원인을 방지해 주는 비타민 비와 같은 역할을 하는 물질.
항간,명사,쓰거나 인쇄한 글의 줄과 줄 사이. 또는 행과 행 사이. ⇒규범 표기는 ‘행간’이다.
항간교차,품사 없음,에너지 준위가 바닥상태보다 높은 상태에서 원자l 분자l 또는 원자핵이 일으키는 무방사 전이의 하나.
항간질,명사,간질이나 발작을 완화시키거나 방지할 때 사용하는 약물.
항간질제,명사,다양한 형태의 간질에서 일어나는 발작의 정도를 완화하거나 발작을 방지하는 데 쓰는 약물.
항감염성비타민,품사 없음,감염을 예방하는 데 효과가 있는 비타민.
항감염약,명사,병원체인 미생물의 증식을 막아 감염증을 예방하는 약물을 통틀어 이르는 말.
항갑,명사,‘환갑’의 방언
항갑상샘,명사,갑상샘의 기능을 억제하는 인자.
항갑상샘글로불린항체,품사 없음,갑상샘 글로불린에 대한 자가 항체. 하시모토 갑상염 환자의 50~75%에서 발견된다.
항갑상샘물질,품사 없음,갑상샘에서 분비되는 호르몬인 티록신의 분비를 억제하는 물질. 티오우라실 따위가 있다.
항갑상샘제,명사,갑상샘 호르몬의 생합성을 저해하여 바제도병과 같은 갑상샘 항진증을 치료하는 약물.
항갑상선글로불린항체,품사 없음,‘항갑상샘 글로불린 항체’의 전 용어.
항갑상선물질,품사 없음,‘항갑상샘 물질’의 전 용어.
항갑상선약제,품사 없음,‘항갑상샘제’의 전 용어.
항갑상선제,명사,‘항갑상샘제’의 전 용어.
항강,명사,목뒤가 뻣뻣하고 아프며 목을 잘 돌리지 못하는 증상.
항강증,명사,목뒤가 뻣뻣하고 아프며 목을 잘 돌리지 못하는 증상.
항개,부사,‘가득’의 방언
항개별특이형항체,품사 없음,특이 유전자형에만 선택적으로 결합하는 항체.
항거,부사,‘많이’의 방언
항거래비,명사,‘방아깨비’의 방언
항거불능,품사 없음,어떤 행위에 대한 저항이 불가능한 상태.
항거석,부사,‘많이’의 방언
항거석이다,형용사,‘가득하다’의 방언
항거시,부사,‘많이’의 방언
항거운동,품사 없음,권력이나 기타의 압력에 대항하는 운동.
항거차다,형용사,‘가득하다’의 방언
항거품제,명사,표면 장력을 낮추어 거품의 발생을 막는 화학 물질. 폐부종에서 거품으로 인해 악화된 호흡기 폐쇄를 완화시키기 위해 산소와 함께 투여된다.
항거하다,동사,순종하지 아니하고 맞서서 반항하다.
항건,품사 없음,‘항건하다’의 어근.
항건선,명사,건선의 증상을 완화하는 성질.
항건선약,품사 없음,건선의 증상을 완화하는 약.
항건하다,형용사,굳세고 용맹스럽다.
항걸래,명사,‘방아깨비’의 방언
항걸래비,명사,‘방아깨비’의 방언
항것,명사,‘마마’의 방언
항것신,명사,‘헝겊신’의 방언
항게차다,형용사,‘가득하다’의 방언
항결석성,명사,체내의 결석 형성을 방지하는 성질.
항결핵,명사,결핵균을 죽이거나 결핵균의 대사를 억제함.
항결핵성,명사,결핵균을 죽이거나 결핵균의 대사를 억제하는 성질.
항결핵제,명사,결핵을 치료하거나 예방하는 약. 일반적으로 이소니코틴산 히드라지드나 스트렙토마이신l 에탐부톨l 리팜핀 따위를 단독으로 쓰거나 같이 쓴다.
항결핵항생소,품사 없음,결핵균을 죽이거나 억제하는 데 쓰는 항생 물질. 스트렙토마이신l 투베르쿨린l 카나마이신l 바이오마이신l 사이클로세린 따위가 있다.
항경,명사,오경(五硬)의 하나. 목이 뻣뻣하여 잘 움직이지 못하는 증상이다.
항경계선,명사,‘항계선’의 북한어.
항경련,명사,근육이 갑자기 수축하거나 떨게 되는 현상을 억제함.
항경련과민증후군,품사 없음,항경련제 치료의 이차적 현상으로l 열ㆍ발진 및 간염이 발생하는 질환.
항경련약,명사,간질이나 경련을 치료하는 약을 통틀어 이르는 말. 바르비탈계 약제l 히단토인제 따위가 있다.
항경련제,명사,근육의 갑작스러운 경련을 막는 물질. 또는 그런 약.
항경증,명사,오경(五硬)의 하나. 목이 뻣뻣하여 잘 움직이지 못하는 증상이다.
항계,명사,항구 또는 항만의 경계.
항계선,명사,항구 또는 항만의 경계를 나타내는 선.
항고,명사,법원의 결정l 명령에 대하여 당사자 또는 제삼자가 위법임을 주장하고 상급 법원에 그 취소나 변경을 구하여 불복 상소를 함. 또는 그런 절차. 성질에 따라 즉시 항고와 보통 항고로 나누고 심급에 따라서는 최초 항고l 재항고로 나눈다.
항고기간,품사 없음,법원의 결정이나 명령에 불복하여 상급 법원에 항고를 제기할 수 있는 기간. 즉시 항고는 7일 안에 제기하여야 하고l 보통 항고는 기한이 없다.
항고래비,명사,‘방아깨비’의 방언
항고를허용하지않는결정명령,품사 없음,형사 소송법상l 명령에 대하여는 모두 항고가 허용되지 않지만l 결정에 대하여는 몇 개의 예외l 곧 판결 전의 결정l 항고 법원 또는 고등 법원의 결정 등을 제외하고는 일반 항고가 인정되는 일. 또 항고를 허용하지 않는 결정 명령에 대하여도 특별 항고가 허용되는 경우가 있다.
항고법원,품사 없음,항고 사건을 심리하는 상급 법원.
항고소송,품사 없음,행정 관청의 위법한 처분이나 부작위로 인하여 권리를 침해당하였다고 하는 당사자가 재심사를 요구하기 위하여 제기하는 소송. 행정 소송의 가장 보편화된 방식으로 개인의 권리 보호를 목적으로 한다. 취소 소송l 무효 등 확인 소송l 부작위 위법 확인 소송 따위가 있다.
항고심,명사,항고에 대하여 상급 법원이 행하는 심리. 항고가 있는 경우에 개시한다.
항고심판,품사 없음,예전에l 특허 심판에서 행정 관청의 심판에 불복하여 제기한 상소를 재심하던 절차. 1995년에 특허법의 개정으로 폐지하였다.
항고이유서강제주의,품사 없음,법원의 결정이나 명령을 인정할 수 없을 때 상급 법원에 이의 변경을 구하는 소를 제기하는데 이에 대한 이유를 기재하지 않았을 때에는 항고장을 제출한 날부터 10일 안에 항고 이유서를 원심 법원에 반드시 제출해야 한다는 주의.
항고인,명사,법원의 결정l 명령에 대하여 위법임을 주장하고 상급 법원에 그 취소나 변경을 구하여 불복 상소를 하는 사람.
항고장,명사,항고하기 위하여 원심 법원에 제출하여야 하는 서류. 당사자와 법정 대리인l 원심 재판의 결과에 대한 표시와 그에 대한 항고의 뜻을 기재하여야 한다.
항고쟁송,품사 없음,행정의 공권적 작위나 부작위를 전제로 하여 그것이 위법하거나 부당하다고 주장하는 자의 청구에 의하여 행정 기관이 재심사하는 절차. 행정 심판법이 규정하는 행정 심판 따위가 있다.
항고지,명사,‘무지개’의 방언
항고지방혈증제,품사 없음,고지방 혈증을 억제하기 위한 치료제. 지방질의 증가를 억제하기 위하여 지방질의 합성 및 체내 흡수를 막거나 배설을 촉진하는 따위의 작용 기전에 따라 치료제도 나뉜다.
항고하다,동사,법원의 결정l 명령에 대하여 당사자 또는 제삼자가 위법임을 주장하고 상급 법원에 그 취소나 변경을 구하여 불복 상소를 하다. 성질에 따라 즉시 항고 하는 일과 보통 항고 하는 일로 나누고 심급에 따라서는 최초 항고 하는 일l 재항고하는 일로 나눈다.
항고혈압,명사,혈압 강하 작용을 하는 고혈압의 치료 약. 작용 기구가 다른 다수의 약제가 있는데l 혈관ㆍ평활근에 직접 작용하여 혈관 확장을 일으키는 약제l 교감 신경계의 활성을 중추에서 말초 혈관의 수용체에 이르는 경로 중의 어느 부분에서 억제하는 약제l 이뇨 약제l 앤지오텐신 길항 약제 등이 사용되고 있다.
항고혈압제,명사,고혈압 환자의 혈압을 낮추기 위하여 사용하는 약제. 식이 요법이나 운동을 꾸준히 하여도 고혈압이 지속되면 약물 치료를 시작한다.
항곡,명사,충청남도 당진시 고대면에 있는 이. 고대면의 남부에 위치해 있으며l 서쪽으로 낮은 산지l 동쪽으로 평지로 이루어져 있다. 응골산l 승황산l 큰국사봉l 작은국사봉 등이 솟아 있고l 항곡 저수지가 있다. 동쪽에 농경지가 넓게 펼쳐져 있다.
항곡리,명사,경상북도 구미시 고아읍에 있는 이. 고아읍의 중동부에 위치해 있다. 서쪽은 대부분 구릉성 산지이며l 동쪽은 농경지가 발달하였다. 중부에 남북으로 33번 국도가 지나며l 그 주변으로 주거지가 형성되어 있다.
항골래,명사,‘방아깨비’의 방언
항곰팡이,명사,곰팡이의 생장을 억제하거나 사멸시킴.
항곰팡이성,명사,곰팡이의 생장을 억제하거나 사멸시키는 성질.
항곱사다,동사,‘곤두서다’의 방언
항공,명사,비행기로 공중을 날아다님.
항공가위,품사 없음,항공기의 판금 재료를 절단하는 데 쓰이는l 복합 작용식 손가위. 좌측으로 절단하는 가위l 우측으로 절단하는 가위l 일자로 절단하는 가위가 있다.
항공감마탐사,명사,비행기로 감마(γ) 복사의 세기를 재어 땅속의 방사성 광물을 찾는 일.
항공감시,품사 없음,해상에서 선박의 사고로 인해 폐유가 방출되거나l 항해 중 재난을 당한 인명을 구조하기 위한 활동. 정부에서 운행하는 항공기가 사진이나 전자 감지 장치를 이용하여 감독한다.
항공감압증,명사,‘항공병’의 북한어.
항공검역,품사 없음,감염병이 들어오는 것을 막기 위하여 국내로 들어오는 항공기의 승무원 및 여객에 대하여 감염병의 유무를 검사하고 소독하는 일.
항공겸용우주선,품사 없음,동체 자체에서 양력이 발생되어 주 날개가 없이도 비행할 수 있는 항공기. 항공기를 육안으로 볼 때 둔탁해 보이는 것이 특징이며l 이는 우주선에 사용되기도 한다.
항공경기,명사,항공기의 비행과 관련된 여러 기술을 겨루는 경기.
항공경보,명사,‘공습경보’의 북한어.
항공계,명사,항공 및 항공 산업에 종사하는 조직체 및 개인의 활동 분야.
항공계기,품사 없음,조종 따위를 위하여 항공기에 장치한 고도용 계기l 방향 지시용 계기l 속도계l 기압계l 압력계l 승강계l 경사계l 편류계 따위를 통틀어 이르는 말. 가볍고 작으면서도 매우 정확하고 믿을 수 있어야 한다.
항공고시보,품사 없음,조종사를 포함한 항공 종사자들이 적시에 알아야 할 공항 시설l 항공 업무l 절차 따위의 변경 및 설정 등에 관한 정보 사항을 고시하는 일. 일반적으로 항공 고시문은 전문 형식으로 작성되어 기상 통신망으로 신속히 국내외 전 기지에 전파된다.
항공고정통신망,품사 없음,국제 민간 항공 기구의 주도로 구축되고 그 가맹국의 책임하에 운용되는 세계적 규모의 항공 고정 전기 통신망.
항공공업,품사 없음,항공기의 기체(機體)l 원동기l 장비 따위를 만들고 고치는 공업.
항공공통장비,품사 없음,공중에서 운용하도록 설계된 장비와 해상 헬기 따위의 수공 양용 장비로서 2개 군 이상이 사용하는 장비 중 삼군 공통 군수 지원 품목으로 선정된 장비.
항공공학,품사 없음,항공기의 개발ㆍ제작ㆍ운용을 위한 문제들을 연구하는 학문.
항공공학과,품사 없음,대학에서l 항공 공학을 전공으로 연구하는 학과.
항공공학자,품사 없음,항공기 또는 항공기 구성품의 설계와 제작에 대한 공학을 전문적으로 연구하는 사람.
항공과학,품사 없음,항공기와 관련된 과학 또는 기술.
항공관,명사,항공 산업과 관련된 물건들을 전시하고 직접 체험할 수 있도록 만든 건물.
항공관광과,품사 없음,대학에서l 항공업계에 종사하기 위해 필요한 이론과 실제를 연구하는 학과.
항공관제,명사,항공기를 안전하고 능률적으로 운항하기 위하여 행하는 교통관제. 항공관제탑에서 무선 전화로 이착륙을 허가하거나 항로 및 고도를 지시한다.
항공관제관,명사,항공 교통관제 업무를 전문적으로 수행하는 사람.
항공관제레이더,품사 없음,항공로에 있는 항공기의 교통 관제에 사용하는 레이더. 예를 들면l 60해리의 중거리 범위를 감시하는 데 사용하거나 정밀 진입 레이더와 조합하여 지상관제 진입 장치로 사용한다.
항공관제사,명사,항공기의 이동을 원활하고 안전하게 하기 위해 무선 통신l 레이더 장비 등을 이용하여l 항공기 조종사들에게 필요한 정보를 제공하고 해당 업무를 지시ㆍ통제하는 사람.
항공관제탑,명사,비행장에서 안전과 능률을 위하여 항공 교통관제를 행하는 탑. 항공기의 이착륙에 관한 지시나 비행장 내의 정리 따위를 행한다.
항공관측,품사 없음,연락l 정찰 또는 포병 사격을 지휘하기 위하여 항공기에서 땅 위의 목표나 지역을 관측하는 일.
항공관측사,품사 없음,포화의 사격 수정 또는 군사적 첩보 자료의 획득을 위하여 항공기에서 관측하거나 사진 촬영을 주 임무로 하는 인원.
항공교통,품사 없음,공중을 교통로로 하여 이루어지는 통신이나 수송 따위를 통틀어 이르는 말.
