어휘,품사,뜻풀이
덩이,명사,작게 뭉쳐서 이루어진 것.
덩이갯질,명사,‘던지기’의 방언
덩이거름,품사 없음,깻묵에 골분l 어분 따위를 섞어 발효시켜서 동그랗게 만든 고형 비료. 물을 줄 때마다 거름이 흙에 녹아 식물에 흡수된다.
덩이고분자화,품사 없음,용제를 사용하지 않고 단독으로 열l 광선 따위로 단위체만을 중합하는 방법. 중합 속도는 크지만l 반응열을 제거하기가 곤란하여 높은 중합도의 물질을 얻기는 어렵다.
덩이광석,명사,용광로에 넣기에 알맞게 깨뜨린 광석.
덩이글,품사 없음,구 또는 문장보다 더 큰 언어 단위.
덩이꿈틀운동,품사 없음,하루에 3~4차례 짧은 시간 동안 일어나는 강력한 꿈틀 운동. 이때 오름창자에서 가로창자로 넘어가듯이 큰창자의 내용물이 한 구역에서 다른 구역으로 이동한다.
덩이덩이,부사,작게 뭉쳐진 것들이 여기저기 있는 모양.
덩이률,명사,광석을 구워 엉기게 하는 과정에서 얻어진 덩어리와 가루를 합친 전체 무게에 대한 덩어리 무게의 비율. ⇒규범 표기는 ‘덩이율’이다.
덩이배합먹이,명사,‘빵형배합먹이’를 다듬은 말.
덩이분,명사,‘고형분’의 북한어.
덩이비료,품사 없음,비료의 효과가 서서히 나타나도록 비료 성분과 증량제를 혼합하여 덩어리로 만든 비료.
덩이뿌리,명사,덩이 모양으로 생긴 뿌리. 이상 비대 생장에 의한 것으로 녹말과 같은 양분이 저장되어 있다. 고구마l 무l 토란 따위에서 볼 수 있다.
덩이뿌리유방,품사 없음,달리아 뿌리 모양으로 생긴 유방. 양쪽 유방이 다 작고 비대칭인 경우가 많다.
덩이뿌리형성,품사 없음,식물의 뿌리가 저장 조직으로 되어 있어 물질이 이동하여 굵어지는 현상. 고구마 따위에서 볼 수 있다.
덩이서슬,명사,‘고체서슬’을 다듬은 말.
덩이쇠,명사,가운데로 갈수록 잘록해지는 간단한 모양의 쇠판. 삼국 시대 무덤에서 주로 나온다.
덩이쇠돌,명사,덩어리로 되어 있는 철광석.
덩이절제술,품사 없음,환부에서 종양 덩어리만 떼어 내는 수술. 유방을 그대로 둔 채 환부만 자르는 경우가 이에 해당한다.
덩이주사,명사,덩이로 된 주사.
덩이줄기,명사,덩이 모양을 이룬 땅속줄기. 땅속에 있는 줄기의 일부에 녹말 따위의 양분이 저장되어 비대한 덩이 모양을 이룬다. 감자l 돼지감자 따위에서 볼 수 있다.
덩이줄기비대기,품사 없음,덩이줄기에 광합성 산물이 전류되어 비대해지는 시기. 일반적으로 이 시기에는 물을 많이 필요로 한다.
덩이줄기채소,품사 없음,덩이줄기를 이용 대상으로 하는 채소류. 예를 들면l 감자l 돼지감자 따위가 있다.
덩이줄기형성,품사 없음,식물의 줄기 일부가 저장 조직으로 되어 덩이를 이루는 현상. 감자 따위에서 볼 수 있다.
덩이중합,명사,‘괴상 중합’의 북한어.
덩이중합반응,품사 없음,용제를 사용하지 않고 단독으로 열l 광선 따위로 단위체만을 중합하는 방법. 중합 속도는 크지만l 반응열을 제거하기가 곤란하여 높은 중합도의 물질을 얻기는 어렵다.
덩이지다,동사,한데 뭉쳐 덩이가 되다.
덩이짐,명사,‘괴상화물’을 다듬은 말.
덩이차,명사,차의 가루를 뭉치어 조그맣게 만들어 놓은 덩이.
덩이탄,명사,‘괴탄’의 북한어.
덩잉차오,명사,중국의 정치가(1903∼1992). 저우언라이의 처로l 전국 부녀 연합회 부주석l 당 중앙 위원l 전국 인민 대표 회의 상무 위원 따위를 지냈다.
덩잔,명사,‘등잔’의 방언
덩저리,명사,좀 크게 뭉쳐서 쌓은 물건의 부피.
덩제기,명사,‘덩어리’의 방언
덩지,명사,좀 작게 뭉쳐서 쌓은 물건의 부피.
덩지기름,명사,‘찌크’를 다듬은 말.
덩지레기,명사,‘몸집’의 방언
덩지살,명사,덩이가 진 살.
덩짐재이,명사,‘등짐장이’의 방언
덩체기,명사,‘둥치’의 방언
덩치,명사,몸의 부피.
덩치순,명사,몸집이나 규모가 큰 순서.
덩칫값,명사,몸집에 어울리는 말과 행동을 낮잡아 이르는 말.
덩커리,명사,‘덤불’의 방언
덩컨,명사,이사도라 덩컨l 미국의 무용가(1877~1927). 고전 무용의 틀에서 벗어나 독자적으로 자유로운 맨발의 무용을 개척하였다. 저서에 ≪미래의 무용≫l 자서전 ≪나의 생애≫ 따위가 있다.
덩컨면,품사 없음,면 다래가 크고 늦게 성숙하는 조지아산 면. 섬유 길이가 28.6∼34.9mm로 길다. ⇒규범 표기는 미확정이다.
덩케기,명사,‘둥치’의 방언
덩케덩케,부사,걸쭉한 액체 따위가 엉겨서 흐르는 모양.
덩케르크조약,품사 없음,1947년에 프랑스와 영국이 독일의 위협을 막기 위하여 맺은 방위 조약. 1948년에는 베네룩스 경제 동맹과 브뤼셀 조약으로 이어졌고l 1949년에는 북대서양 조약으로 발전하였다. ⇒규범 표기는 미확정이다.
덩케미채,부사,‘송두리째’의 방언
덩쿨,명사,길게 뻗어 나가면서 다른 물건을 감기도 하고 땅바닥에 퍼지기도 하는 식물의 줄기. ⇒규범 표기는 ‘덩굴’이다.
덩쿨딸,명사,‘줄딸기’의 방언
덩크,명사,농구에서l 공에서 손을 떼지 아니한 채 점프하여 링 위에서 내리꽂듯이 하는 슛.
덩크슛,품사 없음,농구에서l 공에서 손을 떼지 아니한 채 점프하여 림 위에서 내리꽂듯이 하는 슛.
덩크 슛,품사 없음,김광진 작사ㆍ작곡의 대중가요. 1993년에 발표된 이승환의 앨범에 수록되어 있다.
덩크슛왕,품사 없음,덩크 슛을 제일 잘하는 선수.
덩크아티스트,품사 없음,농구에서l 덩크 슛을 훌륭하게 하는 선수.
덩크왕,명사,덩크 슛을 잘하는 사람을 이르는 말.
덩클,명사,‘덩굴’의 방언
덩클덩클하다,형용사,덩어리가 물에 완전히 풀리지 아니하고 약간씩 뭉쳐 남아 있다
덩키킥,품사 없음,하체 근력 운동의 하나. 엎드린 채 한쪽 발을 천장으로 들어 올리는 자세로 엉덩이 근육을 강화한다. ⇒규범 표기는 ‘동키 킥’이다.
덩테미,명사,‘덤터기’의 방언
덩풀,명사,‘덤불’의 방언
덫,명사,짐승을 꾀어 잡는 기구.
덫놓이,명사,짐승을 잡기 위하여 덫을 놓는 일.
덫다,동사,샅샅이 더듬어서 찾다
덫사냥,명사,덫을 놓아 짐승을 잡음. 또는 그런 일.
덫사냥꾼,명사,덫을 놓아 사냥하는 사람.
덫사냥하다,동사,덫을 놓아 짐승을 잡다.
덫신경병증,품사 없음,근막이나 인대처럼 둘러싼 조직의 압력으로 인해 생긴 단일 신경의 염증이나 손상으로l 말초 신경 주위의 근l 인대l 건l 골 따위의 압박이나 관절 운동 시 마찰 등에 의해 발생된 모든 신경 기능 장애.
덫 안에 든 쥐,품사 없음,궁지에서 벗어날 수 없는 처지를 비유적으로 이르는 말. <동의 관용구> ‘독 안에 든 쥐’ ‘푸줏간에 든 소’
덫에 치인 범이요l 그물에 걸린 고기라,품사 없음,꼼짝없이 막다른 처지에 몰린 형세가 됨을 비유적으로 이르는 말. <동의 속담> ‘낚싯바늘에 걸린 생선’
덫치기,명사,입자를 일정 영역 바깥으로 벗어나지 못하도록 만드는 현상. 또는 그렇게 만드는 방법. 균일하지 않은 레이저장에 원자가 가두어지는 현상l 반도체에서 전자와 양공이 일정한 영역에 머무는 현상 따위가 대표적인 사례이다.
덫치기시간,품사 없음,퍼텐셜 구배나 다른 입자와의 상호 작용으로 인하여 일정한 공간 영역에 일시적으로 갇힌 입자가 그 영역을 빠져나갈 때까지 걸리는 시간.
덫틀,명사,산짐승을 잡으려고 설치하는 덫의 하나. 짐승이 걸리면 활대 위에 쌓아 둔 돌 더미가 갑자기 한꺼번에 무너지게 되어 있다.
덫활,명사,짐승을 잡으려고 덫에 장치한 활.
덭,명사,‘덫’의 방언
덭다,동사,‘더듬다’의 옛말.
덮가이,명사,‘덮개’의 방언
덮개,명사,덮는 물건.
덮개 공원,품사 없음,도로나 철로 따위를 구조물로 덮고 그 위에 조성하는 공원.
덮개그물섬유,품사 없음,중간뇌의 위 둔덕에서 일어나 일차적으로 중간뇌의 양쪽 그물체로 투사되는 신경 섬유.
덮개꺼풀,품사 없음,음경 포피의 등쪽은 정상이나 배쪽이 전체적 또는 부분적으로 결손되어 있는 상태. 요도밑 열림증을 동반하는 경우가 많다.
덮개눈,명사,‘거적눈’의 방언
덮개다리뇌로,품사 없음,중간뇌의 위 둔덕에서 일어나 가쪽 섬유띠의 안쪽을 따라 다리뇌 바닥 부분의 회색질로 내려가는 신경 섬유 다발.
덮개다리뇌섬유,품사 없음,중간뇌의 덮개에서 기원하여 다리뇌 바닥 부분의 같은 쪽 신경핵에서 끝나는 신경 섬유.
덮개돌,명사,고인돌에서 굄돌이나 받침돌 위에 올려진 큰 돌. 북방식에서는 돌방의 천장을 이루며l 남방식에서는 아래 구조를 보호한다.
덮개띠,품사 없음,비행기 날개의 면적을 증가시키고l 날개 리브의 강도를 높이기 위해 리브 외부에 끊임없이 감은 끈.
덮개막,명사,속귀의 나선 기관에서 털 세포가 얹혀 있는 판 모양의 젤라틴 막.
덮개못,품사 없음,바깥벽의 널에 사용되는 못. 스테인리스강으로 만든 고리 모양의 나삿니못으로 치수는 38.1mm×3.05mm이고l 지름 2.8mm로 역원추형 머리l 날카로운 중간 쐐기 못 끝을 가지고 있다.
덮개뭉치,품사 없음,분말이 들어 있는 소화기의 머리 부분.
덮개방석,명사,방석 모양의 덮개. 또는 덮개로 쓰는 방석.
덮개부분,품사 없음,아래 이마 이랑에서 가쪽 고랑의 오름 가지 뒤쪽의 부분. 이것은 대뇌섬을 덮는 부분이다.
덮개석,명사,무덤의 비석이나 석탑l 고인돌 따위 구조물의 윗부분을 덮는 데 쓰는 넓적한 돌.
덮개설비,품사 없음,폐기물을 매립할 때 악취나 먼지나 종이 따위의 흩날림l 병원균 매개체의 서식l 그리고 강수에 의한 우수 침투 따위를 막기 위한 설비.
덮개숨뇌로,품사 없음,중간뇌의 위 둔덕에서 일어나 다리뇌와 숨뇌의 뒤판에서 끝나는 신경 섬유 다발.
덮개스위치,품사 없음,조명 기구를 천장 따위에 장치하여 끈을 당겨서 개폐하는 점멸용 스위치.
덮개식,명사,덮개로 덮는 방식.
덮개암,명사,석유l 광석l 석탄l 천연가스 따위가 들어 있는 부분을 덮고 있는 단단한 암석층. 광맥의 퇴적물로 되어 있으며 사암(沙巖)이 많다.
덮개앞구역,품사 없음,중간뇌에서 위 둔덕 가쪽 모서리의 바로 앞에 신경핵으로 이루어진 부분. 이곳은 동공 빛 반사에서 중개 핵으로 작용한다.
덮개앞올리브섬유,품사 없음,덮개 앞 핵에서 일어나 덧올리브핵으로 내려가는 신경 섬유.
덮개앞핵,품사 없음,동공 빛 반사를 중계하는 중추가 되는 신경핵. 중간뇌의 위 둔덕 바로 위쪽 시상 상부에 있으며l 시각로를 통해 망막에서 섬유를 받아 덧눈 돌림 신경핵으로 축삭을 보낸다.
덮개올리브섬유,품사 없음,중간뇌 위 둔덕에서 일어나 반대쪽 덧올리브핵으로 내려가는 신경 섬유.
덮개유리,품사 없음,현미경으로 물체를 관찰할 때 슬라이드 유리 위에 놓은 재료를 덮는 얇고 작은 유리판. 재료가 흐트러지는 것을 막고l 현미경의 대물렌즈가 재료에 직접 닿는 것을 막아 주는 역할을 한다.
덮개음,명사,상성부 위에 놓인 내성부의 음.
덮개주름,품사 없음,편도와 목구멍의 앞쪽 기둥 사이를 연결하는 조직.
덮개주머니,명사,주머니의 터진 부분에 덮개를 만들어 붙인 주머니.
덮개진부리이끼,명사,푸른비단이낏과의 이끼. 식물체는 5cm 정도이고 누워 자라며l 잎은 버들잎 모양이다.
덮개 책상,품사 없음,덮개식 필기구 함이 있는 책상. 또는 필기구 함에 받침대를 놓아 만든 책상.
덮개척수로,품사 없음,중간뇌의 위 둔덕에서 일어나 반대쪽으로 가로지른 후 척수의 앞 섬유단으로 목 분절까지 내려가는 신경 섬유 다발.
덮개틀니,품사 없음,연조직과 남아 있는 여러 개의 변화된 천연치로 지지되는 완전 의치.
덮개판,명사,중간뇌의 등 쪽에 상하좌우 두 쌍으로 둥글게 올라온 부분. 윗둔덕과 아랫둔덕으로 나누며l 윗둔덕은 시각l 아랫둔덕은 청각과 관계가 깊다.
덮개판이음,품사 없음,접합할 모재(母材)를 맞댄 뒤l 접합 부위 앞뒤로 한 면 또는 양면에 덧댐쇠를 받쳐 잇는 일.
덮겅이,명사,걸쭉한 액체의 거죽에 엉겨 굳거나 말라서 생긴 꺼풀. ⇒규범 표기는 ‘더껑이’이다.
덮괘,명사,‘덮개’의 방언
덮그물,명사,덮어씌워 고기를 잡는 그물. 투망이나 가래그물 따위가 있으며 주로 물이 얕은 곳에서 쓴다.
덮기,명사,묘포 토양의 보온과 보습을 위하여 상토를 덮는 일.
덮기법,명사,농작물을 재배할 때l 플라스틱 필름l 짚l 건초l 낙엽l 왕겨l 톱밥 따위로 땅의 표면을 덮어 재배하는 방법. 지온 조절l 토양 수분 조절l 잡초 발생 방지l 병충해 발생 억제 따위의 목적에 따라 피복 재료를 선택할 수 있다.
덮기작물,품사 없음,거름이 흘러 내려가거나 토양이 침식되는 것을 막기 위하여 심는 작물. 목초나 콩과 식물이 많다.
덮깃,명사,날개깃l 꽁지깃을 덮고 있는 깃털.
덮누르다,동사,덮어 누르다.
덮눈접,명사,삽수에서 눈 부분을 떼어l 같은 크기의 수피를 도려낸 대목의 자리에 붙이고 동여매는 눈접.
덮다,동사,물건 따위가 드러나거나 보이지 않도록 넓은 천 따위를 얹어서 씌우다.
덮대다,동사,덮어서 대다.
덮두들기다,동사,감싸듯 어루만지며 두들기다.
덮묻이법,명사,휘묻이법의 하나. 낮추 베기 한 뽕나무를 이용하여l 나무가 발아를 시작하기 전인 이른 봄에 봄베기를 하고 새 가지가 30cm 정도 자라면l 그 기부에 철사를 두르고 흙으로 덮어 뿌리를 내리게 하여 묘목을 얻는 방법이다.
덮밥,명사,반찬이 될 만한 요리를 밥 위에 얹어 먹는 음식을 통틀어 이르는 말. 고기덮밥l 오징어덮밥 따위가 있다.
덮밥류,명사,여러 종류의 덮밥을 통틀어 이르는 말.
덮밥용,명사,덮밥을 만드는 데 쓰임. 또는 그런 재료.
덮밥집,명사,덮밥을 파는 음식점.
덮석,명사,‘덕석’의 방언
덮신,명사,‘짚신’의 방언
덮싸다,동사,덮어 싸다.
덮싸이다,동사,덮여 싸이다. ‘덮싸다’의 피동사.
덮싸쥐다,동사,덮듯이 하며 싸쥐다.
덮쌓다,동사,덮듯이 쌓다.
덮쌓이다,동사,덮이듯이 쌓이다.  ‘덮쌓다’의 피동사.
덮쓰다,동사,‘덮어쓰다’의 북한어.
덮쓰이다,동사,‘덮쓰다’의 피동사.
덮씌다,동사,‘덮쓰이다’의 준말.
덮씌우다,동사,‘덮어씌우다’의 북한어.
덮어놓고 열넉 냥[열닷 냥] 금,품사 없음,내용을 살피지 않고 함부로 판단함을 비유적으로 이르는 말.
덮어놓다,동사,옳고 그름이나 형편 따위를 헤아리지 아니하다.
덮어 두다,품사 없음,어떤 사실이나 내용 따위를 따져 드러내지 않고 그대로 숨겨 두다.
덮어시다,동사,‘덮어쓰다’의 방언
덮어시우다,동사,‘덮어씌우다’의 방언
덮어쓰기,명사,컴퓨터에서 새로 작성한 문서나 데이터 따위로 기존에 존재하던 같은 이름의 파일을 대체하는 일.
덮어쓰다,동사,이불 따위를 머리 위까지 덮다.
덮어씌우기,명사,억울하게 부당한 책임을 뒤집어쓰게 하는 일.
덮어씌우다,동사,이불 따위를 머리 위까지 덮게 하다. ‘덮어쓰다’의 사동사.
덮어씨다,동사,‘덮어쓰다’의 방언
덮어주기,품사 없음,어떤 것의 주위나 바깥을 막으로 씌우거나 둘러싸는 일.
덮에다,동사,‘덮이다’의 방언
덮을아,명사,한자 부수의 하나. ‘西’l ‘覃’ 따위에 쓰인 ‘?’(西)를 이른다.
덮이다,동사,물건 따위가 드러나거나 보이지 않도록 넓은 천 따위가 얹혀 씌워지다. ‘덮다’의 피동사.
덮이키다,동사,‘덮이다’의 방언
덮인곰팽이,명사,덮인곰팡잇과의 털곰팡이. 홀씨주머니는 송곳 모양이고 꼭대기에서 여러 개의 곁가지가 나온다. 동물의 배설물l 드물게는 토양과 썩은 버섯에 생기는데 우리나라의 북부 지방에 분포한다. ⇒규범 표기는 ‘덮인곰팡이’이다.
덮인평면다층구조,품사 없음,발광부를 식각ㆍ성장 따위의 공정을 거쳐 다른 <FL>에피</FL>로 완전히 싸 버리는 가장 통상적으로 사용되는 반도체 레이저의 구조. 표면을 평탄화시킨 것이 특징이다.
덮인혀,명사,표면에 흰색이나 노란색 또는 갈색의 백태가 낀 혀. 균사체l 세균l 음식 찌꺼기l 박리된 상피 세포가 쌓이거나 진균 감염이 있거나 혹은 입을 벌리고 잠을 잤을 때 생긴다.
덮임도,명사,논밭에서 김매기를 해야 하는 잡초들이 땅을 덮고 있는 넓이의 비율.
덮장거리,명사,김맬 때 호미로 떠서 덮은 흙덩이. ⇒규범 표기는 ‘맹꽁이덩이’이다.
덮지,명사,‘면지’의 북한어.
덮쳐누르다,동사,한꺼번에 들이닥쳐 누르다.
덮쳐들다,동사,들이닥쳐 모여들다.
덮쳐잡다,동사,한꺼번에 들이닥쳐 잡다.
덮쳐쥐다,동사,한꺼번에 들이닥쳐 쥐다.
덮치,명사,‘덮치기’의 북한어.
덮치기,명사,새를 잡는 데 쓰는 큰 그물.
덮치다,동사,좋지 아니한 여러 가지 일이 한꺼번에 닥쳐오다.
덮치우다,동사,‘덮치다’의 피동사.
덮히다,동사,‘덮다’의 피동사. ⇒규범 표기는 ‘덮이다’이다.
데,의존 명사,‘곳’이나 ‘장소’의 뜻을 나타내는 말.
데가볼리,명사,갈릴리호와 요르단강의 동쪽에 있는 지역. 열 개의 도시라는 뜻으로 열 개의 그리스식 도시가 있다.
데가스페리,명사,알치데 데가스페리l 이탈리아의 정치가(1881~1954). 제이 차 세계 대전 중에 반(反)파시즘 운동에 가담하여 기독교 민주당을 조직하였다. 전후(戰後)에 수상이 되어 나라를 부흥시키고l 이탈리아가 서방 진영에 가담하는 데 이바지하였다.
데가오,명사,‘되가웃’의 방언
데가옷,명사,‘되가웃’의 방언
데가제,명사,발레에서l 한 다리로 체중을 유지하며 다른 한쪽 다리로 바닥 위 허공을 자유롭게 움직이는 춤 동작.
데가제디센게쥐,품사 없음,발레에서l <FL>데가제</FL> 동작을 할 때 발등에 힘을 주어 아치형으로 구부리는 춤 동작. ⇒규범 표기는 미확정이다.
데가제앙크르와,품사 없음,발레에서l <FL>데가제</FL>가 전후좌우로 이어지는 춤 동작. ⇒규범 표기는 미확정이다.
데가주망,명사,장래의 새롭고 자유로운 계획을 세워 나갈 때l 이전에 있었던 자기 구속에서 자기를 해방하려는 경향.
데가지다,동사,‘되가지다’의 방언
데가지즘,명사,구체제 청산 혹은 인적 쇄신을 통해 겪게 되는 정치 체제의 변화를 이르는 말.
데가키,명사,손으로 그린 그림.
데갈량,부사,‘대뜸’의 방언
데감기다,동사,‘되감기다’의 방언
데감다,동사,‘되감다’의 방언
데강이,명사,‘대가리’의 방언
데갱이,명사,‘대가리’의 방언
데갹,명사,‘악행’의 방언
데거,대명사,‘저것’의 방언
데거덕,부사,단단한 물건들이 서로 맞닿거나 부딪치거나 부러질 때 나는 소리.
데거덕거리다,동사,단단한 물건들이 서로 맞닿거나 부딪치거나 부러지는 소리가 잇따라 나다.
데거덕대다,동사,단단한 물건들이 서로 맞닿거나 부딪치거나 부러지는 소리가 잇따라 나다.
데거덕데거덕,부사,단단한 물건들이 잇따라 서로 맞닿거나 부딪치거나 부러질 때 나는 소리.
데거덕데거덕하다,동사,단단한 물건들이 잇따라 서로 맞닿거나 부딪치거나 부러지는 소리가 나다.
데거시니,감탄사,‘저거시기’의 방언
데거칠다,형용사,몹시 거칠다.
데걱,부사,크고 단단한 물건이 가볍게 부딪치거나 부러지는 소리.
데걱거리다,동사,크고 단단한 물건이 가볍게 부딪치는 소리가 잇따라 나다. 또는 그런 소리를 잇따라 내다.
데걱대다,동사,크고 단단한 물건이 가볍게 부딪치거나 부러지는 소리가 잇따라 나다. 또는 그런 소리를 잇따라 내다.
데걱데걱,부사,크고 단단한 물건이 잇따라 가볍게 부딪치거나 부러지는 소리.
데걱데걱하다,동사,크고 단단한 물건이 잇따라 가볍게 부딪치거나 부러지는 소리가 나다. 또는 그런 소리를 내다.
데걱하다,동사,크고 단단한 물건이 가볍게 부딪치거나 부러지는 소리가 나다. 또는 그런 소리를 내다.
데겅이다,동사,좀 굵거나 큰 물건 따위가 여지없이 부러지거나 잘리어 나가다.
데게,대명사,‘저기’의 방언
데겡상이,명사,‘대가리’의 방언
데고,부사,‘적당히’의 방언
데구루,부사,조금 크고 단단한 물건이 단단한 바닥에서 가볍게 조금 굴러가는 소리. 또는 그 모양.
데구루루,부사,약간 크고 단단한 물건이 단단한 바닥에서 구르는 소리. 또는 그 모양.
데구리,명사,‘대가리’의 방언
데국놈,명사,‘되놈’의 방언
데굴,부사,큰 물건이 모양 없이 짧게 구르는 모양.
데굴거리다,동사,큰 물건이 잇따라 구르다.
데굴대다,동사,큰 물건이 잇따라 구르다.
데굴데굴,부사,큰 물건이 계속 구르는 모양.
데굴데굴하다,동사,큰 물건이 계속 구르다.
데그라데,명사,색을 점점 엷어지게 하여 부드러운 느낌을 주는 기법. 모직 천이나 모피의 색조 표현에 주로 사용한다.
데그럭,부사,크고 단단한 물건들이 서로 맞닿는 소리.
데그럭거리다,동사,크고 단단한 물건들이 서로 맞닿는 소리가 잇따라 나다. 또는 그런 소리를 잇따라 내다.
데그럭대다,동사,크고 단단한 물건들이 서로 맞닿는 소리가 잇따라 나다. 또는 그런 소리를 잇따라 내다.
데그럭데그럭,부사,크고 단단한 물건들이 잇따라 서로 맞닿는 소리.
데그럭데그럭하다,동사,크고 단단한 물건들이 잇따라 서로 맞닿는 소리가 나다. 또는 그런 소리를 내다.
데그럭하다,동사,크고 단단한 물건들이 서로 맞닿는 소리가 나다. 또는 그런 소리를 내다.
데그르르,부사,약간 크고 단단한 물건이 단단한 바닥에서 구르는 소리. 또는 그 모양. ⇒규범 표기는 ‘데구루루’이다.
데그빡,명사,‘대갈빼기’의 방언
데글데글,부사,큰 물건이 계속 구르는 모양. ⇒규범 표기는 ‘데굴데굴’이다.
데기,부사,‘되게’의 방언
데길락,명사,‘팔매’의 방언
데김치,명사,채소 따위를 살짝 데쳐서 담근 김치.
데까닥,부사,‘제꺼덕’의 방언
데까불다,동사,‘뒤까불다’의 방언
데깍,부사,‘제꺽’의 방언
데깍데깍,부사,‘제꺽제꺽’의 방언
데깍하문,부사,‘걸핏하면’의 방언
데꺼마리,명사,‘도꼬마리’의 방언
데꺽,부사,크고 단단한 물건이 가볍게 부딪치거나 부러지는 소리. ‘데걱’보다 조금 센 느낌을 준다.
데꺽거리다,동사,크고 단단한 물건이 가볍게 부딪치거나 부러지는 소리가 잇따라 나다. 또는 그런 소리를 잇따라 내다. ‘데걱거리다’보다 조금 센 느낌을 준다.
데꺽대다,동사,크고 단단한 물건이 가볍게 부딪치거나 부러지는 소리가 잇따라 나다. 또는 그런 소리를 잇따라 내다. ‘데걱대다’보다 조금 센 느낌을 준다.
데꺽데꺽,부사,크고 단단한 물건이 잇따라 가볍게 부딪치거나 부러지는 소리. ‘데걱데걱’보다 조금 센 느낌을 준다.
데꺽데꺽하다,동사,크고 단단한 물건이 잇따라 가볍게 부딪치거나 부러지는 소리가 나다. 또는 그런 소리를 내다. ‘데걱데걱하다’보다 조금 센 느낌을 준다.
데꺽하다,동사,크고 단단한 물건이 가볍게 부딪치거나 부러지는 소리가 나다. 또는 그런 소리를 내다. ‘데걱하다’보다 조금 센 느낌을 준다.
데꼬르,명사,발레 공연에 사용되는 소품l 무대 장치 따위를 이르는 말. ⇒규범 표기는 미확정이다.
데꼬마리,명사,‘도꼬마리’의 방언
데꾸마리,명사,‘도꼬마리’의 방언
데꾸빠주,명사,몽타주적인 사고에 입각하여 시나리오를 분석한 후에 보다 정교한 콘티를 완성하는 작업. ⇒규범 표기는 미확정이다.
데꾼,품사 없음,‘데꾼하다’의 어근.
데꾼데꾼,부사,눈들이 모두 쑥 들어가고 생기가 없는 모양. ‘떼꾼떼꾼’보다 여린 느낌을 준다.
데꾼데꾼하다,형용사,눈들이 모두 쑥 들어가고 생기가 없다. ‘떼꾼떼꾼하다’보다 여린 느낌을 준다.
데꾼하다,형용사,눈이 쑥 들어가고 생기가 없다. ‘떼꾼하다’보다 여린 느낌을 준다.
데꾼히,부사,눈이 쑥 들어가고 생기가 없이. ‘떼꾼히’보다 여린 느낌을 준다.
데꿀멍,품사 없음,‘데굴데굴 꿀꿀 멍멍’을 줄여 이르는 말로l 상대방의 용서를 바라며 애원함을 뜻하는 말.
데끄마리,명사,‘도꼬마리’의 방언
데끔,의명·조,‘만큼’의 방언
데끼,어미,‘-듯이’의 방언
데끼다,동사,‘던지다’의 방언
데끼순,감탄사,‘에끼’의 방언
데낄락,명사,‘팔매질’의 방언
데나깨나,부사,‘도나캐나’의 방언
데나리온,의존 명사,고대 로마 신약(新約) 시대의 은화 단위.
