어휘,품사,뜻풀이
덩설멕,명사,‘둥치’의 방언
덩수리,명사,‘정수리’의 방언
덩시렇다,형용사,둥그스름한 것이 높이 솟은 상태에 있다
덩실,부사,신이 나서 팔다리를 흥겹게 놀리며 춤을 추는 모양.
덩실거리다,동사,신이 나서 팔다리를 계속 흥겹게 놀리며 춤을 추다.
덩실대다,동사,신이 나서 팔다리를 계속 흥겹게 놀리며 춤을 추다.
덩실덩실,부사,신이 나서 팔다리를 흥겹게 자꾸 놀리며 춤을 추는 모양.
덩실덩실하다,동사,신이 나서 팔다리를 흥겹게 자꾸 놀리며 춤을 추다.
덩실하다,형용사,건물 따위가 웅장하고 시원스럽게 높다.
덩심,명사,‘점심’의 방언
덩싯,품사 없음,‘덩싯거리다’의 어근.
덩싯거리다,동사,팔다리를 춤추듯이 잇따라 가볍게 움직이다.
덩싯대다,동사,팔다리를 춤추듯이 잇따라 가볍게 움직이다.
덩싯덩싯,부사,팔다리를 춤추듯이 자꾸 가볍게 움직이는 모양.
덩싯덩싯하다,동사,팔다리를 춤추듯이 자꾸 가볍게 움직이다.
덩어리,명사,크게 뭉쳐서 이루어진 것.
덩어리결함,품사 없음,격자 구조에 큰 규모의 빈 공간이나 이물질이 존재하는 결함. 빈 공간은 결정 형성 시점에 공기 방울이 갇히거나 물질이 응고될 때 수축하면서 만들어진다.
덩어리꼴,명사,덩어리 모양.
덩어리수요,품사 없음,전혀 없다가 갑자기 발생하는 수요. 다른 제품의 수요에 따라 수요가 생기는 종속 수요 제품에서 주로 발생한다.
덩어리시료,품사 없음,가공이나 연마되지 않은 상태의 시료.
덩어리실리콘,품사 없음,사용되지 않은 평평한 상태의 실리콘 웨이퍼 원판.
덩어리운모,품사 없음,약 200마이크로미터(㎛)의 최소 두께를 갖는 칼로 다듬어진 운모.
덩어리일감,명사,규모가 큰 일감.
덩어리작용설,품사 없음,뇌 조직의 넓은 영역이 학습이나 지적인 활동에서 전체적으로 작용한다는 학설.
덩어리절제술,품사 없음,환부에서 종양 덩어리만 떼어 내는 수술. 유방을 그대로 둔 채 환부만 자르는 경우가 이에 해당한다.
덩어리지다,동사,한데 뭉쳐 덩어리가 되다.
덩어리턱,명사,방선균이 소의 목과 얼굴을 침범하여 소의 턱에 덩어리가 생기는 병.
덩어리효과,품사 없음,반도체의 표면이 아닌 물질 전체 영역 내에서 생기는 현상. 건 효과l 음향 전자 효과 따위가 있다.
덩얼덩얼,부사,‘올막졸막’의 방언
