어휘,품사,뜻풀이
부다페스트,명사,다뉴브강 양쪽 기슭에 걸쳐 있는 항구 도시. 동쪽 기슭의 부다와 서쪽 기슭의 페스트로 이루어져 있으며l 기계ㆍ제분ㆍ양조 따위의 공업이 발달하였다. 헝가리의 수도이다. 면적은 525㎢.
부닥뜨리다,동사,사람 또는 사물과 부딪칠 정도로 마주치다.
부닥방망이,명사,도깨비들이 가지고 노는 신통한 방망이.
부닥부닥,부사,‘착착’의 방언
부닥씨리다,동사,‘부서뜨리다’의 방언
부닥치다,동사,세게 부딪치다.
부닥트리다,동사,사람 또는 사물과 부딪칠 정도로 마주치다.
부닥티다,동사,‘부닥치다’의 방언
부단,품사 없음,‘부단하다’의 어근.
부단경,명사,매일 읽는 경. 또는 일정한 기간 동안 끊임없이 읽는 경.
부단공,명사,유(有)를 인정하지 않는 공(空)도 역시 공하다는 절대 부정의 공을 이르는 말.
부단광,명사,십이광의 하나로l 삼세(三世)에 늘 있어 끊임없이 세간을 비추어 중생을 이롭게 하는 아미타불의 광명의 덕.
부단광불,명사,‘아미타불’의 다른 이름. 십이광불의 하나로l 세간을 비추어 중생을 이롭게 하는 아미타불의 광명의 덕이 끝없다 하여 이렇게 이른다.
부단나,명사,팔부의 하나. 동방을 수호하는 귀신이다.
부단륜,명사,기우제나 기청제를 지낼 때에l 승려들이 한 사람씩 차례로 돌아가며 끊임없이 주문을 외며 기도하는 일.
부단사용,품사 없음,무부하 상태가 없는 사용.
부단상,명사,생멸(生滅)이 있으면서도 차례차례 이어져 끊어지지 아니하는 일.
부단수공법,품사 없음,토목 공사 등에서l 수도관을 차단하지 않고 공사를 하는 방법.
부단수정자관,품사 없음,수도관 등을 수리하는 경우에l 물의 흐름이 끊기지 않도록 관로를 바꾸는 데 사용되는 정(丁)자 모양의 관.
부단수차단장치,품사 없음,수도관 밸브를 잠그는 단수 조치 없이 보수 공사를 할 수 있도록 돕는 장치.
부단수천공기,품사 없음,배수관으로부터 새로운 급수관을 연결할 때 단수하지 않고 구멍을 뚫는 장비.
부단염불,명사,밤낮으로 끊임없이 하는 염불.
부단장,명사,단장에 다음가는 직위. 또는 그 직위에 있는 사람.
