어휘,품사,뜻풀이
쪼그마하다,형용사,조금 작거나 적다. ‘조그마하다’보다 강한 느낌을 준다.
쪼그막허다,형용사,‘조그마하다’의 방언
쪼그만,명사,‘꼬마’의 방언
쪼그맣다,형용사,‘쪼그마하다’의 준말.
쪼그매이,명사,‘쪼금’의 방언
쪼그매트문,부사,‘하마터면’의 방언
쪼그매허다,형용사,‘조그마하다’의 방언
쪼그작치다,동사,‘구기다’의 방언
쪼글귀,명사,크기가 매우 작고 귓바퀴가 좁으면서 귓등이 머리 쪽에 달라붙어 있는 귀.
쪼글다,동사,‘쪼그리다’의 방언
쪼글뜨리다,동사,‘쪼그리다’의 방언
쪼글띠리다,동사,‘쪼그리다’의 방언
쪼글리다,동사,‘쪼그리다’의 방언
쪼글씨다,동사,‘쪼그리다’의 방언
쪼글짜임,명사,천 겉면에 짜임점들이 고르지 아니하게 배치되어 쪼글 효과를 나타내는 짜임. 두터우면서도 부드럽고 잘 구겨지지 않으므로 여성 옷감l 양복감l 어린이 옷감 따위로 쓰인다.
쪼글쪼글,부사,쪼그라지거나 구겨져서 고르지 아니하게 주름이 많이 잡힌 모양.
쪼글쪼글하다,형용사,쪼그라지거나 구겨져서 고르지 아니하게 주름이 많이 잡힌 데가 있다.
쪼글천,명사,쪼글짜임으로 짠 천. 두께와 부피가 크고l 부드러우면서도 잘 구겨지지 않으며 처짐성이 좋아 양복감을 비롯하여 여러 가지 용도로 널리 쓰인다.
쪼글치다,동사,‘쪼그라뜨리다’의 방언
쪼글탱이,명사,‘쭈그렁이’의 방언
쪼금,명사,‘조금’의 센말.
쪼금쪼금,부사,여럿이 다 조금인 모양. ‘조금조금’보다 센 느낌을 준다.
쪼금하다,형용사,‘쪼그마하다’의 방언
쪼금하덤,부사,‘하마터면’의 방언
쪼금하드문,부사,‘하마터면’의 방언
쪼기,명사,‘조기’의 방언
쪼기다,동사,‘쪼개다’의 방언
쪼기주머니,명사,‘귀주머니’의 방언
쪼까,명사,‘조금’의 방언
쪼까내다,동사,‘쫓아내다’의 방언
쪼까만치,부사,‘조그만큼’의 방언
쪼깐,명·부,‘조금’의 방언
쪼깐이,부사,‘조금’의 방언
쪼깐하다,형용사,‘조그마하다’의 방언
쪼깐허다,형용사,‘조그마하다’의 방언
쪼깜,명사,‘쪼끔’의 방언
쪼깨,명·부,‘조금’의 방언
쪼깨주머니,명사,‘귀주머니’의 방언
쪼깬하다,형용사,‘조그마하다’의 방언
쪼깮다,형용사,‘조그마하다’의 방언
쪼께,부사,‘조금’의 방언
쪼께이,명사,‘조금’의 방언
쪼께주머이,명사,조끼에 달린 호주머니
쪼껜,명사,‘조금’의 방언
쪼껜하다,형용사,‘조그마하다’의 방언
쪼꼬마이,명사,‘꼬맹이’의 방언
쪼꼬마터면,부사,‘하마터면’의 방언
쪼꼬마터무,부사,‘하마터면’의 방언
쪼꼬마하다,형용사,조금 작거나 적다. ⇒규범 표기는 ‘쪼끄마하다’이다.
쪼꼬만하다,형용사,‘조그마하다’의 방언<DR /> 제주 지역에서는 ‘쪼꼬만?다’로도 적는다.
쪼꼬맣다,형용사,‘쪼끄맣다’의 방언
쪼꼬매,명사,‘조금’의 방언
쪼꼬맹이,명사,‘꼬맹이’의 방언
쪼꼴떼리다,동사,‘쭈그리다’의 방언
쪼꼴락하다,형용사,‘조그마하다’의 방언<DR /> 제주 지역에서는 ‘쪼꼴락?다’로도 적는다.
쪼꼼,명사,‘조금’의 방언
쪼꾸리다,동사,‘쪼그리다’의 방언
쪼꾸매,명사,‘조금’의 방언
쪼꾸매이,명사,‘꼬맹이’의 방언
쪼꿈,명사,‘조금’의 방언
쪼끄리다,동사,‘쪼그리다’의 방언
쪼끄마하다,형용사,조금 작거나 적다. ‘조그마하다’보다 아주 센 느낌을 준다.
쪼끄만하다,형용사,‘쪼끄마하다’의 방언
쪼끄맣다,형용사,‘쪼끄마하다’의 준말.
쪼끄매이,부사,‘쪼끔’의 방언
쪼끔,명사,‘조금’의 센말.
쪼끔썩,부사,‘조금씩’의 방언
쪼끔쪼끔,부사,여럿이 다 조금인 모양. ‘조금조금’보다 아주 센 느낌을 준다.
쪼끔터면,부사,‘하마터면’의 방언
쪼끔하다,형용사,‘쪼끄마하다’의 방언
쪼끔하덤,부사,‘하마터면’의 방언
쪼끔하드문,부사,‘하마터면’의 방언
쪼끼,명사,‘조끼’의 방언
쪼끼주마이,명사,‘귀주머니’의 방언
쪼끼주머니,명사,‘귀주머니’의 방언
쪼끼주머이,명사,‘귀주머니’의 방언
쪼끼주무이,명사,‘귀주머니’의 방언
쪼끼차기,명사,‘제기차기’의 방언
쪼끼틀,명사,‘재봉틀’의 방언
쪼다,명사,조금 어리석고 모자라 제구실을 못하는 사람 또는 그런 태도나 행동을 속되게 이르는 말.
쪼다리,명사,‘멍청이’의 방언
쪼달레다,동사,‘쪼들리다’의 방언
쪼달리다,동사,‘쪼들리다’의 방언
쪼달리키다,동사,‘쪼들리다’의 방언
쪼대,명사,‘곰방대’의 방언
쪼대홀,명사,‘진흙’의 방언
쪼대흘,명사,‘진흙’의 방언
쪼드기,명사,‘진흙’의 방언
쪼들다,동사,‘졸아들다’의 북한어.
쪼들리다,동사,어떤 일이나 사람에 시달리거나 부대끼어 괴롭게 지내다.
쪼라다,동사,‘조리다’의 방언
쪼락데기,명사,‘폭우’의 방언
쪼란히,부사,‘가지런히’의 방언
쪼랍다,형용사,‘떫다’의 방언
쪼랑말,명사,‘조랑말’의 방언
쪼래기지다,동사,열매가 너무 많이 열리다
쪼랭이,명사,‘조롱박’의 방언
쪼런,관형사,‘저런’의 방언
쪼레박,명사,‘조롱박’의 방언
쪼렙,명사,주로 온라인 게임에서l 사용하는 캐릭터의 레벨이 낮은 것을 낮추어 부르는 말. ⇒규범 표기는 미확정이다.
쪼련이,부사,‘가지런히’의 방언
쪼로니,부사,비교적 작은 것들이 가지런하게 줄지어 있는 모양.
쪼로록,부사,가는 물줄기 따위가 빠르게 잠깐 흐르다가 그치는 소리. 또는 그 모양. ⇒규범 표기는 ‘쪼르륵’이다.
쪼로록거리다,동사,적은 액체가 매우 빠르게 흐르다가 멎는 소리가 자꾸 나다.
쪼로록대다,동사,적은 액체가 매우 빠르게 흐르다가 멎는 소리가 자꾸 나다.
쪼로록쪼로록,부사,가는 물줄기 따위가 빠르게 자꾸 흘렀다 그쳤다 하는 소리. 또는 그 모양. ⇒규범 표기는 ‘쪼르륵쪼르륵’이다.
쪼로록쪼로록하다,동사,적은 액체가 매우 빠르게 자꾸 흘렀다 멎었다 하는 소리가 나다.
쪼로록하다,동사,적은 액체가 매우 빠르게 잠깐 흐르다가 멎는 소리가 나다.
쪼로지,부사,‘줄줄이’의 방언
쪼로히,부사,‘가지런히’의 방언
쪼록,부사,가는 물줄기나 빗물 따위가 빠르게 잠깐 흐르다가 그치는 소리. 또는 그 모양. ‘조록’보다 센 느낌을 준다.
쪼록거리다,동사,가는 물줄기나 빗물 따위가 세게 흐르는 소리가 자꾸 나다.
쪼록대다,동사,가는 물줄기나 빗물 따위가 세게 흐르는 소리가 자꾸 나다.
쪼록쪼록,부사,가는 물줄기나 빗물 따위가 빠르게 자꾸 흐르거나 내리는 소리. 또는 그 모양. ‘조록조록’보다 센 느낌을 준다.
쪼록쪼록하다,동사,가는 물줄기나 빗물 따위가 빠르게 자꾸 흐르거나 내리는 소리가 나다. ‘조록조록하다’보다 센 느낌을 준다.
쪼록하다,동사,가는 물줄기나 빗물 따위가 빠르게 잠깐 흐르다가 그치는 소리가 나다. ‘조록하다’보다 센 느낌을 준다.
쪼롱박,명사,‘조롱박’의 방언
쪼루,명사,배낚시를 할 때l 낚아채 올린 고기를 받는 데 쓰는 그물.
쪼루다,동사,‘조리다’의 방언
쪼르게,명사,‘겉절이’의 방언
쪼르다,형용사,‘짧다’의 방언
쪼르라니,부사,‘쪼르르’의 방언
쪼르르,부사,가는 물줄기 따위가 빠르게 흘러내리는 소리. 또는 그 모양. ‘조르르’보다 센 느낌을 준다.
쪼르르하다,동사,가는 물줄기 따위가 빠르게 흘러내리는 소리가 나다. ‘조르르하다’보다 센 느낌을 준다.
쪼르륵,부사,가는 물줄기 따위가 빠르게 잠깐 흐르다가 그치는 소리. 또는 그 모양. ‘조르륵’보다 센 느낌을 준다.
쪼르륵거리다,동사,가는 물줄기 따위가 빠르게 흐르다가 그치는 소리가 자꾸 나다. ‘조르륵거리다’보다 센 느낌을 준다.
쪼르륵대다,동사,가는 물줄기 따위가 빠르게 흐르다가 그치는 소리가 자꾸 나다. ‘조르륵대다’보다 센 느낌을 준다.
쪼르륵쪼르륵,부사,가는 물줄기 따위가 빠르게 자꾸 흘렀다 그쳤다 하는 소리. 또는 그 모양. ‘조르륵조르륵’보다 센 느낌을 준다.
쪼르륵쪼르륵하다,동사,가는 물줄기 따위가 빠르게 자꾸 흘렀다 그쳤다 하는 소리가 나다. ‘조르륵조르륵하다’보다 센 느낌을 준다.
쪼르륵하다,동사,가는 물줄기 따위가 빠르게 잠깐 흐르다가 그치는 소리가 나다. ‘조르륵하다’보다 센 느낌을 준다.
쪼르복,명사,‘박복’의 방언
쪼릉박이,명사,‘조롱박’의 방언
쪼리,부사,‘조리’의 방언
쪼리개,명사,‘조림’의 방언
쪼마들다,동사,‘죄어들다’의 방언
쪼마이,명사,‘주머니’의 방언
쪼막디이,명사,‘조막’의 방언
쪼막손,명사,‘조막손’의 방언
쪼막수염,명사,코 밑에만 조금 남긴 채 짧게 자른 수염.
쪼막쪼막,감·명,‘죄암죄암’의 방언
쪼만하다,형용사,‘쪼그마하다’의 방언
쪼많다,형용사,‘조그마하다’의 방언
쪼맘때,명사,‘저맘때’의 방언
쪼매,명사,‘조금’의 방언
쪼매다,동사,‘잡아매다’의 방언
쪼매이,명사,‘조금’의 방언
쪼매하다,형용사,‘조그마하다’의 방언
쪼맨,명사,‘조금’의 방언
쪼맨하다,형용사,‘조그마하다’의 방언
쪼맹하다,형용사,‘조그마하다’의 방언
쪼메쪼메,부사,‘조마조마’의 방언
쪼멘하다,형용사,‘어리다’의 방언
쪼무락쪼무락,부사,‘조몰락조몰락’의 방언
쪼무래기,명사,자질구레한 물건. ⇒규범 표기는 ‘조무래기’이다.
쪼무래이,명사,‘조무래기’의 방언
쪼무랭이,명사,‘조무래기’의 방언
쪼무리기,명사,‘조무래기’의 방언
쪼무리다,동사,작게 오그리다.
쪼물,품사 없음,‘쪼물거리다’의 어근.
쪼물거리다,동사,말이나 행동을 선뜻 하지 못하고 자꾸 꼬물거리다.
쪼물대다,동사,말이나 행동을 선뜻 하지 못하고 자꾸 꼬물대다.
쪼물딱쪼물딱,부사,‘조몰락조몰락’의 방언
쪼물락거리다,동사,‘조몰락거리다’의 방언
쪼물락기리다,동사,‘조몰락거리다’의 방언
쪼물래기,명사,‘조무래기’의 방언
쪼물짝하다,형용사,사람이 시원하게 트이지 못하여 옹졸하고 좀스럽다.
쪼물쪼물,부사,행동이나 말을 선뜻 하지 못하고 자꾸 꼬물거리는 모양.
쪼물쪼물하다,동사,행동이나 말을 선뜻 하지 못하고 자꾸 꼬물거리다.
쪼밀짝하다,형용사,‘옹졸하다’의 방언
쪼바가지,명사,‘쪽박’의 방언
쪼바리,명사,‘고들빼기’의 방언
쪼박,명사,‘조각’의 북한어.
쪼박그림,명사,자질구레한 그림.
쪼박김치,명사,‘깍두기’의 방언
쪼박지,명사,조각으로 된 물건을 구어적으로 이르는 말.
쪼박쪼박,명사,‘조각조각’의 북한어.
쪼배기,명사,‘조각’의 방언
쪼봇하다,형용사,‘조붓하다’의 방언
쪼부당하다,형용사,‘좁다랗다’의 방언
쪼불시다,동사,‘쪼그리다’의 방언
쪼붓하다,형용사,‘조붓하다’의 방언
쪼브장하다,형용사,‘조붓하다’의 방언
쪼븝다,형용사,‘좁다’의 방언
쪼빡,명사,‘바가지’의 방언
쪼빼다,동사,‘조빼다’의 방언
쪼뼛,부사,물건의 끝이 차차 가늘어지면서 뾰족하게 솟은 모양. ‘조뼛’보다 센 느낌을 준다.
쪼뼛거리다,동사,물건의 끝이 다 차차 가늘어지면서 뾰족뾰족하게 솟아나다. 또는 그렇게 되게 하다. ‘조뼛거리다’보다 센 느낌을 준다.
쪼뼛대다,동사,물건의 끝이 다 차차 가늘어지면서 뾰족뾰족하게 솟아나다. 또는 그렇게 되게 하다. ‘조뼛대다’보다 센 느낌을 준다.
쪼뼛이,부사,물건의 끝이 차차 가늘어지면서 뾰족하게 솟은 상태로. ‘조뼛이’보다 센 느낌을 준다.
쪼뼛쪼뼛,부사,물건의 끝이 다 차차 다 가늘어지면서 뾰족뾰족하게 솟은 모양. ‘조뼛조뼛’보다 센 느낌을 준다.
쪼뼛쪼뼛하다,동사,물건의 끝이 차차 다 가늘어지면서 뾰족뾰족하게 솟다. 또는 그렇게 되게 하다. ‘조뼛조뼛하다’보다 센 느낌을 준다.
쪼뼛하다,동사,물건의 끝이 차차 가늘어지면서 뾰족하게 솟다. 또는 그렇게 되게 하다. ‘조뼛하다’보다 센 느낌을 준다.
쪼삣,부사,‘쪼뼛’의 방언
쪼삣허다,동사,‘쭈뼛하다’의 방언
쪼새,명사,‘공기’의 방언
쪼수다,동사,‘쪼다’의 방언
쪼시락허다,형용사,‘자질구레하다’의 방언
쪼실쪼실허다,형용사,‘자질구레하다’의 방언
쪼아내기,명사,돌이나 반반한 면을 쪼아서 거친 면을 만드는 일.
쪼아들다,동사,‘죄어들다’의 방언
쪼아떼기,명사,나무와 뼈 따위로 돌에서 껍질을 벗기듯이 얇고 긴 격지를 떼어 내는 방법.
쪼아박다,동사,세게 부딪치거나 짓찧다.
쪼아보다,동사,관련되는 두 사물을 서로 맞추어 보거나 직접 맞대어 겪어 보다.
쪼아파기,품사 없음,조각 따위에서 재료를 뾰족한 도구로 쳐서 도려내거나 파내는 일.
쪼에다,동사,‘쪼이다’의 방언
쪼우,명사,‘종이’의 방언
쪼우다,동사,‘죄다’의 방언
쪼으개,명사,손에 잡기 좋게 끝을 무디고 짧게 만들어서 쪼는 데에 쓰던 석기.
쪼이,명사,끌로 쪼거나 찍어서 무늬를 내는 금속 세공 기술.
쪼이개,명사,‘조이개’의 방언
쪼이꾼,명사,‘화투꾼’의 방언
쪼이다,동사,볕이 들어 비치다.
쪼이판,명사,‘화투판’의 방언
쪼임량,명사,‘조사량’의 북한어. ⇒규범 표기는 ‘쪼임양’이다.
쪼임체,명사,‘피사체’를 다듬은 말.
쪼작,부사,느리게 아장아장 걷는 모양.
쪼작거리다,동사,자꾸 느리게 아장아장 걷다.
쪼작구,명사,키가 작은 사람을 낮잡아 이르는 말
쪼작대다,동사,자꾸 느리게 아장아장 걷다.
쪼작쪼작,부사,느리게 자꾸 아장아장 걷는 모양.
쪼작쪼작하다,동사,느리게 자꾸 아장아장 걷다.
쪼작하다,동사,느리게 아장아장 걷다.
쪼잔,품사 없음,‘쪼잔하다’의 어근.
쪼잔하다,형용사,(속되게) 마음 쓰는 폭이 좁다.
쪼잘,품사 없음,‘쪼잘거리다’의 어근.
쪼잘거리다,동사,조금 낮은 목소리로 빠르게 말을 계속 하다. ‘조잘거리다’보다 센 느낌을 준다.
쪼잘대다,동사,조금 낮은 목소리로 빠르게 말을 계속 하다. ‘조잘대다’보다 센 느낌을 준다.
쪼잘쪼잘,부사,조금 낮은 목소리로 말을 빠르게 계속 하는 모양. ‘조잘조잘’보다 센 느낌을 준다.
쪼잘쪼잘하다,동사,조금 낮은 목소리로 말을 빠르게 계속하다. ‘조잘조잘하다’보다 센 느낌을 준다.
쪼조금,명사,‘쪼금’의 방언
쪼주름,명사,‘주름살’의 방언
쪼질쪼질허다,형용사,‘자질구레하다’의 방언
쪼짝하다,형용사,물체의 윗부분이 뾰족하게 솟아 있다<DR /> 제주 지역에서는 ‘쪼짝?다’로도 적는다.
쪼쩨비,명사,‘족제비’의 방언
쪼찝개,명사,‘족집게’의 방언
쪼체다,동사,‘쪼들리다’의 방언
쪼추바리떡,명사,머슴이 연말에 집을 떠날 때l 전별의 뜻으로 주던 떡
쪼치다,동사,‘쫓다’의 방언
쪼치바리,명사,‘달음박질’의 방언
쪼치바리떡,명사,머슴이 연말에 집을 떠날 때l 전별의 뜻으로 주던 떡
쪼치빠리,명사,‘달음박질’의 방언
쪼치쿠다,동사,‘쫓다’의 방언
쪼크라들다,동사,쪼그라져 작아지다. ‘쪼그라들다’보다 거센 느낌을 준다.
쪼크라뜨리다,동사,누르거나 오그려 부피를 작아지게 하다. ‘쪼그라뜨리다’보다 거센 느낌을 준다.
쪼크라지다,동사,눌리거나 오그라져서 부피가 몹시 작아지다. ‘쪼그라지다’보다 거센 느낌을 준다.
쪼크라트리다,동사,누르거나 오그려 부피를 작아지게 하다. ‘쪼그라트리다’보다 거센 느낌을 준다.
쪼크리다,동사,누르거나 옥여서 부피를 작게 만들다. ‘쪼그리다’보다 거센 느낌을 준다.
쪼프리다,동사,‘찌푸리다’의 북한어.
쪽,명사,시집간 여자가 뒤통수에 땋아서 틀어 올려 비녀를 꽂은 머리털. 또는 그렇게 틀어 올린 머리털.
쪽가래나무,명사,가래나뭇과의 낙엽 교목. 높이는 20미터 정도이며l 잎은 어긋나고 우상 복엽이다. 5월에 자화수는 가지 끝에 10~15개 모여 피고 웅화수는 아래로 길게 드리운다. 열매는 포도송이같이 10여 개가 달린다. 씨는 기름 원료로l 목재는 건축재ㆍ가구재ㆍ조각재로 쓴다. 우리나라 북부 지방에 분포한다.
쪽가위,명사,실 따위를 자르는 데 쓰는l 족집게처럼 생긴 작은 가위.
쪽갈비,명사,돼지의 갈비에서l 머리에 가까운 위쪽의 갈비를 이르는 말.
쪽거울,명사,작은 거울.
쪽걸상,명사,널조각으로 만든 조그마한 걸상.
쪽구들,명사,방의 일부분을 따듯하게 덥히는 온돌. ‘일(一)’ 자나 ‘ㄱ’ 자l ‘ㄷ’ 자 모양으로 구들을 깔아 부분 난방을 한다.
쪽구름,명사,‘조각구름’의 북한어.
쪽그림,명사,‘컷’의 북한어.
쪽글,명사,짤막한 글.
쪽기술언어,품사 없음,문서를 화면에 표시하거나 인쇄할 때 문서의 물리적 이미지를 기술하기 위해 사용되는 프로그램 언어의 총칭. 임의의 크기l 가로세로의 비l 폰트를 지정할 수 있고l 표l 수식l 기하학적 도형 따위를 다루는 것이 가능하다.
쪽김치,명사,조각조각 썰어서 담근 김치.
쪽꼬투리,명사,‘골돌과’의 북한어.
쪽꼬투리열매,명사,‘골돌과’의 북한어.
쪽꼭지,명사,연 머리에 절반씩 색깔이 다른 종이로 꼭지를 붙인 연.
쪽나눔,품사 없음,현재 쪽에서 출력을 끝내고 다음 쪽의 처음에서 출력을 다시 시작하는 기능.
쪽나무,명사,장미과의 상록 활엽 관목. 높이는 2~4미터이고 줄기 아래에 많은 가지가 나와 반구형(半球形)을 이룬다. 잎은 어긋나며l 여름에 흰색 꽃이 원추(圓錐) 화서로 피고 열매는 둥근데 가을에 검게 익는다. 나무껍질은 망을 염색하는 데에 쓰인다. 해변의 산록에서 자라는데 한국l 일본 등지에 분포한다.
쪽낭그,명사,‘쪽나무’의 방언
쪽널,명사,‘쪽매널’의 북한어.
쪽널마루,명사,‘쪽매널 마루’의 북한어.
쪽널무늬,명사,‘쪽매널무늬’의 북한어.
쪽니,명사,‘덧니’의 방언
쪽다리,명사,긴 널조각 하나로 걸치어 놓은 다리.
쪽다지,명사,‘깍두기’의 방언
쪽달,명사,‘조각달’의 북한어.
쪽달기계,명사,쫄딱쫄딱 움직이는 기계라는 뜻으로l 재래식 베틀을 이르는 말.
쪽달이,명사,발줄과 그물 사이에 간격을 두고 그 사이를 이어 주는 줄.
쪽담,명사,규모가 작은 담.
쪽대,명사,‘올가미’의 방언
쪽대기,명사,‘애꾸눈이’의 방언
쪽대문,명사,바깥채나 사랑채에서 안채로 통하는l 한 쪽으로 된 작은 대문.
쪽대본,명사,드라마 따위에서l 시간에 쫓긴 작가가 급하게 보낸l 바로 찍을 장면의 대본.
쪽댕기,명사,부인네가 쪽을 찔 때 드리는 댕기. 보통 붉은색 댕기를 매고l 나이 많은 이는 자주색l 과부는 검은색l 상중의 여자는 흰색 댕기를 맨다.
쪽도리,명사,‘족두리’를 구어적으로 이르는 말.
