어휘,품사,뜻풀이
쪄닦기,명사,‘증열’의 북한어.
쪄안다,동사,‘껴안다’의 방언
쪄입다,동사,‘껴입다’의 방언
쪼,명사,‘쪽’의 방언
쪼가리,명사,작은 조각.
쪼가리김치,명사,‘깍두기’의 방언
쪼가리지,명사,‘깍두기’의 방언
쪼가리짐치,명사,‘깍두기’의 방언
쪼가리짠지,명사,‘깍두기’의 방언
쪼가이짠지,명사,‘무김치’의 방언
쪼가피,명사,‘조가비’의 방언
쪼각,명사,‘조각’의 북한어.
쪼각걸음,명사,아주 빠른 걸음. ⇒규범 표기는 ‘조각걸음’이다.
쪼각공,명사,공을 평면으로 잘랐을 때 생긴 한 부분. ⇒규범 표기는 ‘조각공’이다.
쪼각구,명사,공을 평면으로 잘랐을 때 생긴 한 부분. ⇒규범 표기는 ‘조각구’이다.
쪼각구름,명사,‘조각구름’의 북한어.
쪼각권세,명사,아주 보잘것없는 작은 권세. ⇒규범 표기는 ‘조각권세’이다.
쪼각나다,동사,‘조각나다’의 방언
쪼각네다,동사,‘조각나다’의 방언
쪼각달,명사,‘조각달’의 북한어.
쪼각더미구름,명사,‘조각 적운’의 북한어. ⇒규범 표기는 ‘조각더미구름’이다.
쪼각돌,명사,‘조각돌’의 북한어.
쪼각마디,명사,‘편절’의 북한어. ⇒규범 표기는 ‘조각마디’이다.
쪼각말,명사,앞뒤가 없고 연결이 잘되지 않는 마디마디의 말. ⇒규범 표기는 ‘조각말’이다.
쪼각문,명사,한 조각의 작은 문. ⇒규범 표기는 ‘조각문’이다.
쪼각배,명사,‘조각배’의 방언
쪼각쇠,명사,크지 않은 잗다란 쇠붙이. ⇒규범 표기는 ‘조각쇠’이다.
쪼각지,명사,‘쪽’의 방언
쪼각짐채,명사,‘깍두기’의 방언
쪼각짐치,명사,‘깍두기’의 방언
쪼각쪼각,명사,‘조각조각’의 북한어.
쪼각창,명사,‘조각창’의 북한어.
쪼각하늘,명사,‘조각하늘’의 북한어.
쪼간,명사,이유나 근거.
쪼갈기다,동사,함부로 세게 갈기다
쪼감지,명사,‘조가비’의 방언
쪼갑지,명사,‘조가비’의 방언
쪼개,명사,‘조개’의 방언
쪼개다,동사,둘 이상으로 나누다.
쪼개비,명사,‘조가비’의 방언
쪼개어지다,동사,‘쪼개지다’의 본말.
쪼개이,명사,‘족집게’의 방언
쪼개접,명사,대목(臺木)의 껍질 부분과 재질 사이를 세로로 가르고 여기에 접가지의 밑을 붙이는 접목 방법.
쪼개지다,동사,둘 이상으로 나누어지다.
쪼개짐,명사,광물을 부술 때에 쪼개지는 모양새. 광물을 감정하는 기준이 된다.
쪼개짐선,명사,광물 따위에 결을 따라서 생긴 금. 광물을 얇은 조각으로 만들었을 때 단면 위에 나타난다.
쪼갬금쇠,명사,얇은 널을 일정한 나비로 금을 내어 쪼개는 도구.
쪼갬피,명사,‘조개’의 방언
쪼갭지,명사,‘조가비’의 방언
쪼갱이,명사,‘조각’의 방언
쪼거락살,명사,‘주름살’의 방언
쪼거럭사리,명사,‘주름살’의 방언
쪼거럭살,명사,‘주름살’의 방언
쪼게,부사,‘조금’의 방언
쪼게이,부사,‘조금’의 방언
쪼게주밍이,명사,조끼에 달린 호주머니
쪼고리,명사,‘저고리’의 방언
쪼고리다,동사,‘쪼그리다’의 방언
쪼골쪼골,부사,쪼그라지거나 구겨져서 잔주름이 매우 많이 져 있는 모양.
쪼골쪼골하다,형용사,쪼그라지거나 구겨져서 잔주름이 매우 많이 져 있다.
쪼골티리다,동사,‘쪼그리다’의 방언
쪼곰,명사,‘조금’의 방언
쪼곱박,명사,‘조롱박’의 방언
쪼구,명사,‘조기’의 방언
쪼구라들다,동사,‘쪼그라들다’의 방언
쪼구라지다,동사,‘쪼그라지다’의 방언
쪼구락사리,명사,‘주름살’의 방언
쪼구락살,명사,‘주름살’의 방언
쪼구랑박,명사,‘쪼그랑박’의 방언
쪼구랑할마이,명사,‘쪼그랑할멈’의 방언
쪼구래이박,명사,‘조롱박’의 방언
쪼구러들다,동사,‘쪼그라들다’의 방언
쪼구러지다,동사,‘쪼그라지다’의 방언
쪼구레이,명사,‘조롱박’의 방언
쪼구렝이,명사,‘조롱박’의 방언
쪼구름,명사,‘주름’의 방언
쪼구리다,동사,누르거나 옥여서 부피를 작게 만들다. ⇒규범 표기는 ‘쪼그리다’이다.
쪼구매하다,형용사,‘쪼그마하다’의 방언
쪼구미,명사,들보 위에 세우는 짧은 기둥. 상량(上樑)l 오량(五樑)l 칠량(七樑) 따위를 받치고 있다.
쪼굴다,동사,‘쪼그리다’의 방언
쪼굴사리,명사,‘주름살’의 방언
쪼굴시다,동사,‘쪼그리다’의 방언
쪼굴씨다,동사,‘쪼그리다’의 방언
쪼굴티다,동사,‘쪼그라트리다’의 방언
쪼귀다,동사,‘쪼개다’의 방언
쪼그나트문,부사,‘하마터면’의 방언
쪼그라기,명사,눌리어 구겨지거나 오그라져서 몹시 작아진 물건.
쪼그라들다,동사,쪼그라져 작아지다.
쪼그라뜨리다,동사,누르거나 오그려 부피를 작아지게 하다.
쪼그라지다,동사,눌리거나 오그라져서 부피가 몹시 작아지다.
쪼그라트리다,동사,누르거나 오그려 부피를 작아지게 하다.
쪼그락지,명사,‘무말랭이’의 방언
쪼그락짠지,명사,무말랭이로 만든 김치
쪼그랑,명사,쪼그라져 볼품없이 된 물건.
쪼그랑박,명사,잘 굳지 못하여 쪼그라진 박.
쪼그랑이,명사,쪼그라져 볼품없이 된 물건.
쪼그랑쪼그랑,부사,여러 군데가 안쪽으로 몹시 오목하게 쪼그라져 있는 모양.
쪼그랑쪼그랑하다,형용사,여러 군데가 안쪽으로 몹시 오목하게 쪼그라져 있다.
쪼그랑탱이,명사,‘쪼그랑이’의 방언
쪼그랑하다,형용사,안쪽으로 몹시 오목하게 쪼그라져 있다.
쪼그랑할멈,명사,얼굴에 살이 빠져서 쪼그라진 늙은 여자를 낮잡아 이르는 말.
쪼그레기,명사,‘표주박’의 방언
쪼그레지다,동사,‘줄어들다’의 방언
쪼그렝이,명사,‘조롱박’의 방언
쪼그려뛰기,품사 없음,쭈그리고 앉은 자세로 제자리에서 뜀을 뛰는 일.
쪼그려앉기,품사 없음,맨손 체조에서l 쪼그려 앉기 자세의 하나. 바로 서서 발뒷꿈치 들기 자세에서 두 무릎을 깊이 굽힌다. 윗몸이 앞으로 기울지 않게 등을 바르게 편다.
쪼그려앉아손끝바닥에붙이기,품사 없음,맨손 체조에서l 쪼그려 앉기 자세의 하나. 바로 서기 자세에서 두 무릎을 굽혀 양팔을 두 무릎 사이에 넣고 가볍게 손끝을 바닥에 붙인다. 이때 윗몸은 곧게 세워 등은 펴고 가슴은 뻗는다.
쪼그려앉아팔앞으로들기,품사 없음,맨손 체조에서l 쪼그려 앉기 자세의 하나. 쪼그려 앉은 자세에서 두 팔을 나란히 하여 앞으로 올린다. 앞으로 올린 팔은 어깨높이의 연장선에 오게 하고l 윗몸은 곧게 세워 등을 펴고 가슴을 뻗는다.
쪼그려앉아한다리펴옆으로내기,품사 없음,맨손 체조에서l 발 운동의 하나. 허리를 깊이 숙이고 무릎을 깊이 굽혀 몸을 앞으로 누이는 기분으로 손을 몸 앞에 댄다. 한쪽 발을 옆으로 폈다가 다시 원위치로 돌리고l 반대편 다리도 같은 동작을 교대로 실시하는데l 탄력이 붙으면 가볍게 뛴다. 고관절을 강화하는 데 효과적이다.
쪼그리다,동사,누르거나 옥여서 부피를 작게 만들다.
