어휘,품사,뜻풀이
휠링,명사,발전 사업자가 송전망을 임대하여 전기 수요자에게 전기를 판매하는 것. ⇒규범 표기는 미확정이다.
휠링크스,명사,아르놀트 횔링크스l 네덜란드의 철학자(1624~1669). 스콜라 철학에 반대하고l 데카르트의 신심 이원론(身心二元論)에 상대하여 기회 원인론을 주장하였다. 저서에 ≪윤리학≫이 있다.
휠마우스,품사 없음,손가락으로 돌릴 수 있는 둥근 바퀴 모양의 장치가 양쪽 버튼 사이에 달린 마우스. 이 장치를 아래나 위 방향으로 돌림으로써 화면의 아래위로 이동할 수 있다.
휠맨,명사,원동기에서 얻은 동력으로 바퀴가 돌아가도록 만든 탈것. 핸들과 좌석이 없으며l 바퀴와 바퀴 사이에 있는 발판에 발을 올려놓고 운전한다. ⇒규범 표기는 미확정이다.
휠배로,명사,웨이트 트레이닝에서l 가슴l 삼각근l 상완 삼두근의 근력 향상을 위한 운동 방법. 2인 1조로 실시한다. 한 사람은 푸시업 자세를 하고l 다른 한 사람은 파트너의 양발을 허리 높이로 들고 선 후l 푸시업 자세의 사람이 한 팔씩 앞으로 전진한다. ⇒규범 표기는 미확정이다.
휠배로수플렉스,품사 없음,외국 프로 레슬링에서l 상대편의 양다리를 공격자의 복부에 감은 상태에서 뒤로 넘겨 상대편의 등을 바닥으로 내리찍는 기술. ⇒규범 표기는 미확정이다.
휠배로우,명사,웨이트 트레이닝에서l 가슴l 삼각근l 상완 삼두근의 근력 향상을 위한 운동 방법. 2인 1조로 실시한다. 한 사람은 푸시업 자세를 하고l 다른 한 사람은 파트너의 양발을 허리 높이로 들고 선 후l 푸시업 자세의 사람이 한 팔씩 앞으로 전진한다. ⇒규범 표기는 미확정이다.
휠배로우페이스버스터,품사 없음,외국 프로 레슬링에서l 엎드린 상대편의 다리를 뒤로 꺾어 자신의 배에 두고 양손으로 상대를 잡아 들어 올린 상태로 주저앉아 바닥에 상대의 전면부가 닿게 내려찍는 기술. ⇒규범 표기는 미확정이다.
휠배로페이스버스터,품사 없음,외국 프로 레슬링에서l 엎드린 상대편의 다리를 뒤로 꺾어 자신의 배에 두고 양손으로 상대를 잡아 들어 올린 상태로 주저앉아 바닥에 상대의 전면부가 닿게 내려찍는 기술. ⇒규범 표기는 미확정이다.
휠베이스,명사,자동차의 앞바퀴 중심과 뒷바퀴 중심 사이의 거리. 이것이 길면 차의 안전성이 좋고l 짧으면 차의 회전 반경이 작아서 짧게 돌 수 있다.
휠브러시,품사 없음,전동 공구에 끼워 사용할 수 있는 원반 모양의 와이어 브러시.
휠손,명사,남을 휘어잡아 잘 부리는 솜씨. ⇒규범 표기는 ‘휫손’이다.
휠스핀업,품사 없음,항공기가 착륙한 후 착륙 기어 바퀴의 회전 가속도.
휠식여상,품사 없음,급속 여과지의 하부 집수 장치의 일종. 콘크리트 상중(床中) 종횡 약 30cm 간격으로 역향(逆向) 피라미드형 포켓을 만들어 그 정점에 지름 18~19mm의 관을 접속하고l 이 관이 콘크리트상 밑의 집중실에 접속된다. 포켓 안에는 자기제의 구슬을 채우고 구슬 위에 지갈층 또는 모래층을 만든다. 급속 여과지의 하부 집중 장치는 세정 장치를 겸하므로 이들 구슬은 역류 세정 때 압력수의 분출 작용을 억제함과 동시에 사층 내에 세정수가 균등하게 하는 역할을 한다.
휠아치,품사 없음,자동차의 옆면에서l 휠의 탈착이나 바퀴의 좌우 회전을 원활하게 하기 위하여 만든 무지개 모양의 곡선부.
휠엑스커베이터,품사 없음,굴착 버킷을 여러 개 장치한 차륜을 회전시켜서 연속적으로 토사를 굴착하는 기계.
휠체어,명사,다리를 마음대로 움직일 수 없는 사람이 앉은 채로 이동할 수 있도록 바퀴를 단 의자. 또는 두 다리가 절단되어 마음대로 움직일 수 없는 사람이 앉은 채로 이동할 수 있도록 바퀴를 단 의자.
휠체어농구,품사 없음,장애인들이 휠체어를 이용해 하는 농구.
휠체어댄스,품사 없음,장애인들이 휠체어를 이용해 추는 춤.
휠체어럭비,품사 없음,장애인들이 휠체어를 이용해 하는 럭비.
휠체어 리프트,품사 없음,휠체어를 운반하는 기계.
휠체어석,명사,의자 대신에 휠체어가 들어갈 수 있도록 마련된 자리.
휠체어 장애인,품사 없음,신체에 장애가 있어 일상생활이나 사회생활을 할 때 휠체어를 사용하는 사람.
휠체어컬링,품사 없음,장애인들이 휠체어를 이용해 하는 컬링.
휠체어테니스,품사 없음,휠체어를 탄 상태에서 하는 테니스. 공이 세 번 튀기기 전에 받아쳐야 하는 점이 일반 테니스와 다르다.
휠체어펜싱,품사 없음,장애인들이 휠체어를 이용해 하는 펜싱.
휠체어형,명사,휠체어와 같은 모양이나 형태.
휠체어형리프트,품사 없음,스키장이나 관광지 따위에서 몸이 불편한 노인이나 장애인을 낮은 곳에서 높은 곳까지 안전하게 실어 나를 목적으로 만든 휠체어 모양의 리프트.
휠 캡,품사 없음,자동차나 전동기 따위의 바퀴 중심부에 끼우는 플라스틱 덮개.
휠크레인,품사 없음,공사 현장에서 무거운 물건을 들어 올리는 데 사용하는l 바퀴가 달린 이동식 기중기.
휠터,명사,‘필터’의 북한어.
휠터담배,명사,‘필터담배’의 북한어.
휠트랙터,품사 없음,고무 타이어를 장착하고 주행하면서 무거운 짐이나 농기계를 끄는 특수 자동차.
휠트랙터셔블,품사 없음,주행 장치를 차륜식으로 한 파워 셔블의 본체에 셔블 작업용 부속을 장치한 것.
휠팬츠,품사 없음,고정식 강착 장치에서 각 바퀴 주위에 마련된 유선형의 <FL>페어링</FL>.
휠페이퍼,품사 없음,그라인더에 끼워 사용할 수 있는 원통 모양의 사포.
휠형,명사,활자가 나열된 원판을 이용하여 인쇄하는 충격식 프린터.
휠형활자,품사 없음,바퀴 형태의 활자 장치로l 원주면의 여러 가로 열에 따라 정렬된 활자.
휨,명사,들보나 기둥과 같은 구조물이 외력을 받아 일으키는 변형.
휨가공,품사 없음,판재나 봉l 관을 곡면이나 곡선으로 굽히는 가공.
휨감축요소,품사 없음,휨 축소 기능을 도입한 후의 휨 진폭에 대한 도입 전 휨 진폭의 비(比).
휨강도,품사 없음,어떤 재질을 휘게 하거나 구부러지게 하는 외력에 견디는 힘.
휨강성,품사 없음,강체가 아닌 물체를 단위 곡률만큼 휘게 할 때 필요한 힘의 쌍.
휨강성률,품사 없음,강체가 아닌 물체를 단위 곡률만큼 휘게 할 때 필요한 힘의 쌍.
휨곡선,품사 없음,보가 외력 또는 자력에 의하여 변형되면서 발생하는 중립축이 이루는 곡선.
휨도파관,품사 없음,내부의 전송파 방향을 바꾸기 위하여 급격하게 구부리거나 완만하게 구부린 도파관.
휨모멘트,품사 없음,지렛대에 어떤 힘이 가해질 때 생기는 힘의 모멘트.
휨모멘트도,품사 없음,부재의 각 단면의 휨 모멘트의 값을 연결하여 그린 도형.
휨변위,품사 없음,기둥l 보l 천장 따위의 위치가 부재에 가해지는 하중 때문에 휘어져서 변화하는 범위.
휨변형,명사,막대기의 양 끝을 받치고 중간에 짐을 실을 때 또는 한 끝을 고정하고 다른 끝에 짐을 실을 때 휘는 변형.
휨보강근,품사 없음,철근 콘크리트 구조에서 부재의 휨 응력에 의하여 발생하는 인장력이나 압축력에 저항하기 위한 철근.
휨부재,품사 없음,휨 모멘트를 받는 부재.
휨부착,품사 없음,프리스트레스트 콘크리트에서 외부 하중 작용으로 인하여 콘크리트와 긴장재 사이에 일어나는 응력.
휨부하편향,품사 없음,축에 수직적으로 작용하는 부하의 영향하에서 이 축에 대하여 수직적으로 측정한 애자의 한 점에서의 변이.
휨비틀림좌굴,품사 없음,구조물의 뼈대를 이루는 보나 기둥에 가해지는 하중에 견디는 힘이 한계에 이르러 구조물이 수평 방향으로 비틀리며 휘어지는 상태.
휨시험,품사 없음,금속 재료의 변형 성능을 조사하기 위한 시험의 하나. 재료의 휨에 대한 강도와 변형 상태 따위를 알기 위하여 막대 모양의 시험편을 양 끝에서 받치고 하중을 주어 휨 모멘트를 가하여 결함 유무를 관찰l 재료의 적합 여부를 판정한다.
휨압축응력,품사 없음,부재 내부에 일어나는 휨 응력 중 보에 작용하는 휨 모멘트와 같이 압축 측에 생기는 응력.
휨응력,품사 없음,휨 모멘트에 의하여 생기는 수직 응력.
휨좌굴,품사 없음,기둥에 압축 하중을 가했을 때 처음에는 축 방향 변형이 일어나지만 하중의 크기가 어느 한계를 넘으면 기둥은 급격하게 횡방향 변형이 생기고l 한계 하중에 이르렀을 때 급격하게 휨 변형이 생기는 불안정한 상태.
휨줄,명사,‘가요선’의 북한어.
휨진동,품사 없음,탄성 진동의 일종으로l 적당히 지지된 보에 하중이 작용할 때 보의 휨 강성에 의하여 복원력이 생겨 축선에 직각 방향으로 일어나는 진동.
휨철근,품사 없음,철근을 위로 구부리거나 아래로 구부려 경사 인장력에 저항하도록 한 철근. 전단력에 저항하는 특징이 있다.
휨철탑,품사 없음,표준 철탑의 하나로l 송전 선도체를 수직적으로 안정시키고 수평 및 수직의 하중을 견디기 위하여 고안한 철탑. 전선로 방향과 직각 방향의 철탑 강도를 각각 다르게 설계한다.
휨파괴,품사 없음,부재 축에 직각인 횡단면에 작용하는 휨 모멘트에 의하여 발생하는 휨 응력에 의해서 부재가 파괴되는 일.
휨퍼,명사,에드워드 휨퍼l 영국의 산악인(1840~1911). 1865년 마터호른에 처음으로 올랐으며l 저서에 ≪알프스 등반기≫가 있다.
휨항복,품사 없음,부재가 휨 모멘트를 받아서 어느 한계를 넘었을 때 급격한 변화를 일으키는 항복 현상.
휩뜨다,동사,눈을 휘둥그렇게 하여 치뜨다.
휩샷,품사 없음,외국 프로 레슬링에서l 채찍을 이용하여 상대편을 공격하는 기술. ⇒규범 표기는 미확정이다.
휩스레하다,형용사,머리털이나 수염이 자라서 텁수룩하다. ⇒규범 표기는 ‘헙수룩하다’이다.
휩스티치,명사,옷의 단이나 천의 가장자리에 사용하는 짧은 휘갑치기. 실을 시접에 감아서 한 바늘씩 또는 두세 바늘을 섞어 가며 뜬다. ⇒규범 표기는 미확정이다.
휩싸다,동사,휘휘 둘러 감아서 싸다.
휩싸이다,동사,휘휘 둘러 감겨서 싸이다. ‘휩싸다’의 피동사.
휩쌔다,동사,‘휩싸이다’의 준말.
휩쓸다,동사,물l 불l 바람 따위가 모조리 휘몰아 쓸다.
휩쓸리다,동사,물l 불l 바람 따위에 모조리 휘몰려 쓸리다.  ‘휩쓸다’의 피동사.
휩안테나,품사 없음,얇고 휘어지기 쉽게 만든 초단파용 안테나. ⇒규범 표기는 미확정이다.
휩코드,명사,조직의 능선이 급경사를 이루는 두꺼운 모직물. 따뜻하고 뻣뻣하며 무게감이 있어 외투나 군용 단체복에 많이 사용된다. ⇒규범 표기는 미확정이다.
휫가리,명사,‘횟가루’의 방언
휫대,명사,‘횃대’의 방언
휫두루,부사,‘휘뚜루’의 옛말.
휫두루잊다,동사,‘휘두르다’의 옛말.
휫두르다,동사,‘둘러싸다’의 옛말. 모음으로 시작하는 어미 앞에서는 ‘휫둘-’로 나타난다.
휫등,부사,다소 조심스럽게 휘딱 들거나 옮겨 놓는 모양.
휫바람,명사,입술을 좁게 오므리고 혀끝으로 입김을 불어서 맑게 내는 소리. 또는 그런 일. ⇒규범 표기는 ‘휘파람’이다.
휫손,명사,남을 휘어잡아 잘 부리는 솜씨.
휭,부사,바람이 갑자기 빠르고 세게 부는 소리.
휭구다,동사,‘헹구다’의 방언
휭야휭야,부사,‘흥야항야’를 각박하게 이르는 말.
휭하니,부사,중도에서 지체하지 아니하고 곧장 빠르게 가는 모양.
휭하다,형용사,놀라거나 피곤하거나 또는 머리가 어지러워서 정신을 못 차릴 정도로 머리가 띵하다. ⇒규범 표기는 ‘힁하다’이다.
휭해가다,동사,중도에서 지체하지 아니하고 곧장 빠르게 가다
휭휭,부사,바람을 일으키며 잇따라 빠르게 날아가거나 떠나가 버리는 소리. 또는 그 모양.
휭휭하다,동사,바람을 일으키며 잇따라 빠르게 날아가거나 떠나가 버리는 소리가 나다.
휴,감탄사,‘후유’의 준말.
휴가,명사,직장ㆍ학교ㆍ군대 따위의 단체에서l 일정한 기간 동안 쉬는 일. 또는 그런 겨를.
휴가객,명사,휴가를 목적으로 여행하는 사람.
휴가계,명사,휴가를 내려고 할 때 사유를 적어서 내는 것. 또는 그런 서류.
휴가금,명사,‘휴가비’의 북한어.
휴가기,명사,휴가의 기간.
휴가마케팅,품사 없음,휴가를 계획하는 사람들을 특정한 휴양지나 관광지로 끌어오기 위해 펼치는 마케팅. 지방 자치 단체나 여행사l 호텔l 항공사 등에서 한다.
휴가 문화,품사 없음,휴가를 보내는 방식이나 태도와 같이l 휴가를 통하여 이루어지는 문화.
휴가별장,품사 없음,한여름이나 한겨울과 같은 계절 동안에 휴가 등의 목적을 위하여 비교적 짦은 시간에 사용하는 예외적인 거주지.
휴가병,명사,휴가를 받은 병사. 또는 휴가 중에 있는 병사.
휴가 보상비,품사 없음,휴가를 가지 못한 것에 대한 보상으로 주는 돈.
휴가분산제도,품사 없음,휴가가 집중되는 현상의 부정적인 영향을 해결하기 위한 방안으로서l 징검다리 연휴를 활용하거나 여름과 겨울로 휴가를 나누어 쓰게 하는 다양한 제도.
휴가비,명사,기업 따위에서 휴가를 얻은 사람에게 주는 돈.
휴가시,명사,일본 미야자키현에 있는 시. 미야자키현의 동북부에 위치해 있으며l 동쪽에 태평양이 닿아 있다. 1년 내내 온난한 기후를 유지하며l 동쪽에 자리한 <FL>오쿠라가하마</FL> 해수욕장에 서핑을 즐기기 위한 관광객들이 많이 찾는다.
휴가 시즌,품사 없음,많은 사람이 휴가를 즐기는 기간.
휴가용품,명사,휴가를 떠날 때 준비하는 여러 종류의 물품. 특히 여름철 물놀이와 캠핑을 위한 물품을 이른다.
휴가일,명사,휴가를 얻어서 쉬는 날.
휴가자,명사,휴가를 얻는 사람.
휴가 저택,품사 없음,서윤후가 지은 시집. 2018년에 간행되었다.
휴가제,명사,휴가에 관련된 제도. 또는 휴가를 주는 제도.
휴가족,명사,휴가를 보내는 사람. 또는 그런 무리.
휴가증,명사,휴가를 허가하는 사실이 적혀 있는 증명서.
휴가증후군,품사 없음,휴가가 끝난 후에 업무에 집중이 안되고 피로감을 느끼는 심리적인 현상.
휴가지,명사,휴가를 보내는 장소.
휴가철,명사,많은 사람이 휴가를 즐기는 기간.
휴가촌,명사,휴가를 목적으로 간이 휴양 숙박 시설을 조성한 마을이나 구역. 국립 공원l 온천지l 해변 또는 호수 주변 따위에 위치한다.
휴가 후유증,품사 없음,휴가를 보내고 온 다음에 오히려 무기력하고 심신이 피곤한 증상.
휴간,명사,신문이나 잡지 등 정기 간행물의 발행을 잠시 쉼.
휴간거리,품사 없음,이랑과 이랑 사이의 거리.
휴간경운,품사 없음,이랑과 이랑 사이를 갈고 김을 매는 일 따위의 작업.
휴간경쟁,품사 없음,농작물을 재배할 때 이랑과 이랑 사이에서 벌어지는 경쟁.
휴간관개,품사 없음,고랑에 물을 넣어 농작물의 뿌리에 물을 주는 방법.
휴간기상,품사 없음,이랑과 이랑 사이에 나타나는 온도나 빛 따위의 기후.
휴간되다,동사,신문이나 잡지 등 정기 간행물의 발행이 잠시 쉬게 되다.
휴간지,명사,개간하지 아니하여서 묵어 있는 땅.
휴간처리,품사 없음,작물을 재배하는 이랑과 이랑 사이에 약제를 살포하는 일.
휴간하다,동사,신문이나 잡지 등 정기 간행물의 발행을 잠시 쉬다.
휴갈뽐프,명사,‘원심 펌프’의 북한어. ⇒규범 표기는 ‘퓨걸 펌프’이다.
휴갓길,명사,휴가를 떠나는 길.
휴강,명사,강의를 하지 않고 쉼.
휴강일,명사,강의를 하지 않고 쉬는 날.
휴강하다,동사,강의를 하지 않고 쉬다.
휴갱,명사,광석l 석탄 따위를 캐지 않고 묵히고 있는 갱.
휴거,명사,관직에서 물러나 집에서 쉼.
휴거하다,동사,관직에서 물러나 집에서 쉬다.
휴게,명사,어떤 일을 하다가 잠깐 동안 쉼.
휴게 공간,품사 없음,어떤 일을 하다가 잠깐 동안 쉴 수 있도록 마련하여 놓은 공간.
휴게소,명사,길을 가는 사람들이 잠깐 동안 머물러 쉴 수 있도록 마련하여 놓은 장소.
휴게소용,명사,휴게소에서 쓰임. 또는 그런 물건.
휴게시설,품사 없음,출입이 제한되어 있는 도로에서 운전자가 생리적 문제를 해소하고 연속 고속 주행의 피로와 긴장을 풀 수 있는 동시에 자동차에 대한 급유l 급수 또는 정비 점검이 가능한 시설. 주차 구역과 서비스 구역이 있다.
휴게시설물,품사 없음,벤치l 공중화장실l 휴게소l 분수l 소형 무대 따위와 같이l 도로를 이용하는 사람들이 잠깐 동안 머물러 쉴 수 있도록 설치한 시설을 통틀어 이르는 말.
휴게실,명사,잠깐 동안 머물러 쉴 수 있도록 마련해 놓은 방.
휴게음식점,품사 없음,비교적 작은 규모의 음식을 파는 식당. 식품 위생법령에 따라 관할 시장ㆍ군수ㆍ구청장에게 영업 신고를 해야 한다.
휴게하다,동사,어떤 일을 하다가 잠깐 동안 쉬다.
휴경,명사,부치던 땅을l 농사를 짓지 아니하고 얼마 동안 묵힘.
휴경기간,품사 없음,농경지에 농경 작업을 하지 않고 묵히는 기간.
휴경농법,품사 없음,비옥도가 낮아진 농경지를 일정한 기간 동안 묵혔다가 비옥도가 회복된 후 다시 농경지로 쓰는 원시적인 농사 방법.
휴경보상제,품사 없음,농산물 수급 조절을 위해 농토를 경작하지 않고 묵히는 경우l 정부나 생산 단체가 해당 농민에게 휴경에 따른 손실을 보상해 주는 제도.
휴경지,명사,부치다가 갈지 아니하고 내버려 둔 땅.
휴경하다,동사,부치던 땅을l 농사를 짓지 아니하고 얼마 동안 묵히다.
휴계,명사,어떤 일을 하다가 잠깐 동안 쉼. ⇒규범 표기는 ‘휴게’이다.
휴계소,명사,길을 가는 사람들이 잠깐 동안 머물러 쉴 수 있도록 마련하여 놓은 장소. ⇒규범 표기는 ‘휴게소’이다.
휴계실,명사,잠깐 동안 머물러 쉴 수 있도록 마련해 놓은 방. ⇒규범 표기는 ‘휴게실’이다.
휴계하다,동사,‘휴게하다’의 북한어.
휴고,명사,중국에서l 관리의 휴가를 이르던 말. 한(漢)나라에서는 닷새에 하루l 당나라에서는 열흘에 하루씩 집에서 쉬며 목욕을 한 데서 유래한다.
휴고하다,형용사,평온하고 견고하다.
휴공,명사,길을 걸을 때 지팡이를 지님. 또는 지팡이를 짚고 걸어감.
휴공하다,동사,길을 걸을 때 지팡이를 지니다. 또는 지팡이를 짚고 걸어가다.
휴관,명사,도서관l 미술관l 영화관 따위가 일반에 대한 공개 업무를 하루 또는 한동안 쉼.
휴관일,명사,도서관l 미술관l 영화관 따위가 일반에 대한 공개 업무를 쉬는 날.
휴관하다,동사,도서관l 미술관l 영화관 따위가 일반에 대한 공개 업무를 하루 또는 한동안 쉬다.
휴광,명사,뛰어난 공적.
휴교,명사,학교가 학생을 가르치는 업무를 한동안 쉼.
휴교령,명사,학교에 대하여 건물 관리 따위의 단순한 관리 업무를 제외한 학교의 모든 기능을 정지하는 명령. 교육 기본법에 따라 학교의 감독청이 내린다.
휴교일,명사,학교가 학생을 가르치는 업무를 쉬는 날.
휴교하다,동사,학교가 학생을 가르치는 업무를 한동안 쉬다.
휴구,명사,길(吉)한 것과 흉(凶)한 것. 또는 복(福)과 화(禍).
휴궁일,명사,고궁을 일반에 개방하지 아니하고 쉬는 날.
휴권,명사,싫증이 나서 쉼.
휴권하다,동사,싫증이 나서 쉬다.
휴귀,명사,집에 돌아가거나 돌아와서 쉼. 특히 근무 중이거나 복역 중인 사람이 일정 기간 휴가를 얻는 일을 이른다.
휴귀하다,동사,집에 돌아가거나 돌아와서 쉬다. 특히 근무 중이거나 복역 중인 사람이 일정 기간 휴가를 얻어 쉬는 일을 이른다.
휴기,명사,상서로운 조짐.
휴기하다,동사,아내가 간통을 한 경우에l 남편이 정부(情夫)에게 위자료를 받고 그 관계를 용인하여 이혼하다.
휴녕,명사,걱정 없이 마음을 편히 가짐.
휴녕하다,동사,걱정 없이 마음을 편히 가지다.
휴단,명사,‘층계참’의 북한어. ‘쉼단’으로 다듬음.
휴대,명사,손에 들거나 몸에 지니고 다님.
휴대검전기,품사 없음,전화l 전보 따위의 통신 및 배전을 점검하고 수리할 때 사용하는 휴대용 고장 진단 계기.
휴대국,명사,사람이 가지고 다니거나 몸에 붙여서 옮기도록 설계된 이동국.
휴대기기,품사 없음,손에 들거나 몸에 간편하게 지니고 다닐 수 있는 기기.
휴대단락접지장치,품사 없음,전기 설비에 단락 접지를 하기 위하여 절연된 부분을 손으로 잡고 접속하는 휴대 장비. 접지부l 단락부l 하나 이상의 절연부로 구성된다.
휴대단말,품사 없음,휴대용 타자기 또는 휴대용 디스플레이로 이루어져 있으며l 음향 커플러를 이용해서 일반 전화기에도 연결하여 쓸 수 있는 단말기.
휴대데이터매체,품사 없음,운반하기 쉽도록 판독 장치와 독립적으로 만들어진 데이터 저장 매체.
휴대등,품사 없음,손에 들거나 몸에 지니고 다닐 수 있게 만든 조명 기구.
휴대량,명사,손에 들거나 몸에 지니고 다니는 물건의 양.
휴대리,명사,충청남도 아산시 배방읍에 있는 이. 배방읍의 북동부에 위치해 있으며l 대부분 구릉지와 평지이다. 북쪽에 천안천이 흐르며l 동쪽에 휴대천이 흘러 천안천과 이어진다. 경부 고속선ㆍ21번 국도가 지난다.
휴대물,명사,손에 들거나 몸에 지니고 다니는 물건.
휴대 물품,품사 없음,손에 들거나 몸에 지니고 다니는 물품.
휴대물품반출신고확인서,품사 없음,출국 시 세관에서 여행자가 휴대하고 나가는 물품을 확인하고 발급하는 증명 서류. 입국할 때 이 서류를 제출해야 반출했던 고가품 및 귀중품이 면세될 수 있다.
휴대반입물품,품사 없음,여행자가 휴대하여 들여온 물품.
휴대반입물품의명세서,품사 없음,여행자가 휴대하여 반입하는 물품의 명세를 자세히 적은 문서.
휴대반출물품,품사 없음,여행자가 출국할 때 휴대하여 반출하는 물품.
휴대반출신고,품사 없음,여행자가 출국 시 귀중품 및 법령으로 반출을 제한하는 물품 따위를 세관에 신고하는 일.
휴대보급품,품사 없음,한 부대나 개인이 가지고 운반할 수 있는 탄약 기본량과 모든 보급품의 규정량. 공정 작전에서는 강습 제대와 후속 제대가 목표 지역으로 가지고 가는 모든 보급품을 이른다.
휴대성,명사,시스템 또는 그 구성 요소가 하나의 하드웨어나 소프트웨어 환경에서 다른 곳으로 쉽게 이전되는 성질.
휴대식량,품사 없음,간편하게 지니고 다니거나 먹을 수 있도록 만든 식량.
휴대식우편소인기,품사 없음,소인할 우편물에 접촉한 후에 손으로 눌러서 소인을 찍는 기계.
휴대용,명사,손에 들거나 몸에 지니고 다닐 수 있게 만든 물건.
휴대용 가스레인지,품사 없음,들고 다니면서 밖에서 조리할 수 있도록 작게 만든 가스레인지.
휴대용계산기,품사 없음,간단한 산술 계산에서부터 통계 처리 또는 방정식 계산 따위의 공학용 계산 작업까지 처리할 수 있는 휴대용 전자계산기.
