어휘,품사,뜻풀이
휘필하다,동사,글씨를 쓰거나 그림을 그리다. 붓을 휘두른다는 뜻에서 나온 말이다.
휘핏,명사,개의 한 품종. 그레이하운드 계통의 작은 개로 어깨높이는 50cm 정도이며l 털이 짧고 몸이 가늘어 잘 달린다. 영국이 원산지로 주로 경주용으로 기른다.
휘핑,명사,세게 저어서 거품을 낸 크림. 주로 양과자의 재료로 쓰이며l 커피 위에 올려 마시기도 한다.
휘핑기,명사,세게 저어서 거품을 내는 데 사용하는 도구.
휘핑성,명사,크림을 5~10℃에서 휘저어 섞으면 공기가 크림 위에서 잔 기포의 상태가 되고 점차 표면 장력이 감소하여 거품을 일으키는 성질.
휘핑용,명사,거품을 내는 데 씀. 또는 그런 것.
휘핑크림,명사,세게 저어서 거품을 낸 크림. 주로 양과자의 재료로 쓰이며l 커피 위에 올려 마시기도 한다.
휘하,명사,장군의 지휘 아래. 또는 그 지휘 아래에 딸린 군사.
휘하다,형용사,무서운 느낌이 들 정도로 고요하고 쓸쓸하다.
휘한,명사,땀을 뿌림.
휘한하다,동사,땀을 뿌리다.
휘항,명사,‘휘양’의 원말.
휘호,명사,붓을 휘두른다는 뜻으로l 글씨를 쓰거나 그림을 그리는 것을 이르는 말.
휘호가,명사,붓을 휘두르며 글씨를 쓰거나 그림을 그리는 사람.
휘호료,명사,붓으로 글씨를 쓰거나 그림을 그려 준 데 대한 보수.
휘호식,명사,붓을 휘둘러 글씨를 쓰거나 그림을 그리는 행사.
휘호 작품,품사 없음,붓을 휘둘러 글씨를 쓰거나 그림을 그려 만든 작품.
휘호전,명사,휘호 작품을 모아서 하는 전시.
휘호하다,동사,글씨를 쓰거나 그림을 그리다. 붓을 휘두른다는 뜻에서 나온 말이다.
휘호 흐로티위스,품사 없음,네덜란드의 법학자(1583~1645). 근대 자연법의 원리에 입각하여 국제법의 기초를 확립하였다. 저서에 ≪전쟁과 평화의 법≫이 있다.
휘황,품사 없음,‘휘황하다’의 어근.
휘황찬란,품사 없음,‘휘황찬란하다’의 어근.
휘황찬란하다,형용사,광채가 나서 눈부시게 번쩍이다.
휘황하다,형용사,광채가 나서 눈부시게 환하다.
휘황히,부사,광채가 나서 눈부시게 번쩍이는 상태로.
휘휘,부사,여러 번 휘감거나 휘감기는 모양.
휘휘롭다,형용사,부드러우면서도 다소 쓸쓸하다.
휘휘친친,부사,여러 번 단단히 둘러 감거나 감기는 모양.
휘휘칭칭,부사,여러 번 단단히 둘러 감거나 감기는 모양. ⇒규범 표기는 ‘휘휘친친’이다.
휘휘하다,형용사,무서운 느낌이 들 정도로 고요하고 쓸쓸하다.
휘히,명사,‘회충’의 방언
휙,부사,갑자기 재빨리 움직이거나 스치는 모양.
휙휙,부사,잇따라 재빨리 움직이거나 스치는 모양.
휙휙거리다,동사,갑자기 재빨리 움직이거나 스치는 소리가 잇따라 나다.
휙휙대다,동사,갑자기 재빨리 움직이거나 스치는 소리가 잇따라 나다.
휙휙하다,동사,잇따라 재빨리 움직이거나 스치다.
휜 다리,품사 없음,종아리 부분이 바깥쪽으로 굽은 다리.
휜등,명사,표지의 등과 속장의 등을 붙여 책을 펴면 등이 휘어들게 만드는 제본 방식.
휜발,품사 없음,발이 안쪽이나 바깥쪽 또는 평면상에서 휘어진 선천적 기형.
휜발내반구족,품사 없음,발꿈치가 신체 중심선으로 향해서 구부러지고 발의 앞부분이 융기한 기형족.
휜발내반첨족,품사 없음,발꿈치가 종아리뼈의 중심선 안으로 휘고 발이 발바닥 쪽으로 구부러져 있는 기형.
휜손발가락증,품사 없음,한 개 또는 여러 개의 손가락이나 발가락이 영속적으로 안쪽이나 바깥쪽으로 굽거나 휘어서 꺾인 증상.
휜자,명사,‘운형자’의 북한어.
휜자우,명사,‘흰자위’의 방언
휜카르이스켈레시조약,품사 없음,1833년 제정 러시아와 오스만 제국 사이에 맺은 방어 동맹 조약. 남하 정책을 추진하던 러시아는 오스만 제국에 이 조약을 강요하여 다르다넬스 해협의 통행권을 독점하면서 근동(近東)에서의 우위를 차지하였으나l 영국ㆍ프랑스의 반발로 동방문제(東方問題)의 한 원인이 되었다. ⇒규범 표기는 미확정이다.
휜큰맛,명사,조개의 하나. 껍데기는 원통 모양이고 그 겉면은 누런 갈색 또는 누런 녹색이며 반들반들하고 광택이 있는 각질(角質)의 껍질층으로 덮여 있다. 깊이 10미터 정도까지의 바다 밑 모래 또는 모래 진흙 땅에서 산다.
휠,명사,럭비 풋볼에서l 볼을 스크럼 속에 넣은 채 스크럼을 회전시키면서 드리블로 전진하는 공격 방법.
휠던,의존 명사,네덜란드의 옛 화폐 단위. 기호는 G.
